vary,value,p,n,my_loglik,justin_loglik,numerical_loglik,my_minus_justin,numerical_minus_justin,my_seconds,justin_seconds,numerical_seconds,my_bad_obs,justin_bad_obs,numerical_bad_obs
p,0.05,0.05,0.3319698932596929,-428.9888230509515,-428.98882305095145,-1326.1694506609633,-5.684341886080802e-14,-897.1806276100119,0.00032833300065249205,0.0005329580744728446,0.7408994169672951,0,0,0
p,0.1,0.1,0.3319698932596929,-378.3569144291829,-378.3569144291829,-1003.1312540457048,0.0,-624.774339616522,0.0003292500041425228,0.0005756249884143472,0.7398934580851346,0,0,0
p,0.25,0.25,0.3319698932596929,-319.3251632471132,-319.32516324711315,-471.99895915234515,-5.684341886080802e-14,-152.673795905232,0.0003231250448152423,0.0005063749849796295,0.6789681250229478,0,0,0
p,0.5,0.5,0.3319698932596929,-274.377295974125,-274.377295974125,-311.0883395643715,0.0,-36.711043590246504,0.00031704106368124485,0.0005062080454081297,0.6138657910050824,0,0,0
p,1.0,1.0,0.3319698932596929,-232.84859438213937,-232.84859438213937,-232.93078960673256,0.0,-0.0821952245931925,0.00034554197918623686,0.0005324580706655979,0.40405729098711163,0,0,0
p,2.5,2.5,0.3319698932596929,-191.72929596380422,-191.72929596380422,-191.7083492537367,0.0,0.02094671006750559,0.00035541702527552843,0.0005926659796386957,0.3991464579012245,0,0,0
p,2.8130037725112156,2.8130037725112156,0.3319698932596929,-188.95711717724467,-188.95711717724467,-189.03317338932948,0.0,-0.07605621208480784,0.0003777090460062027,0.0005974590312689543,0.37595908297225833,0,0,0
p,5.0,5.0,0.3319698932596929,-189.577947041276,-189.577947041276,-189.60716599059873,0.0,-0.029218949322739718,0.0003331670304760337,0.0005273750284686685,0.32380587491206825,0,0,0
p,10.0,10.0,0.3319698932596929,-209.86388211800076,-209.86388211800073,-209.96500966414789,-2.842170943040401e-14,-0.10112754614715413,0.00033054198138415813,0.0005475829821079969,0.29236079193651676,0,0,0
p,25.0,25.0,0.3319698932596929,-268.3735753108882,-268.3735753108881,-268.47514019897426,-1.1368683772161603e-13,-0.10156488808615904,0.0002872080076485872,0.000496583990752697,0.28723991592414677,0,0,0
p,50.0,50.0,0.3319698932596929,-326.1839190518657,-326.1839190518654,-326.2516338950443,-2.8421709430404007e-13,-0.06771484317886234,0.008849999983794987,0.0069532920606434345,0.26757450005970895,0,0,0
p,100.0,100.0,0.3319698932596929,-391.3766306493284,-391.37663064932804,-391.9694323055657,-3.410605131648481e-13,-0.5928016562376683,0.009479542030021548,0.00868637498933822,0.25772833300288767,0,0,0
p,200.0,200.0,0.3319698932596929,-461.1183958629723,-461.1271712350738,-462.1819445024968,0.008775372101467838,-1.054773267423002,0.0002953330986201763,0.058288375032134354,0.23805883305612952,0,0,0
p,500.0,500.0,0.3319698932596929,-556.6908304485855,-556.7129312629527,-566.1216914754068,0.022100814367149724,-9.408760212454126,0.0002845840062946081,0.1530348330270499,0.21685091697145253,0,0,0
p,1000.0,1000.0,0.3319698932596929,-630.2265874262057,-630.2409848603984,-649.4061696364752,0.014397434192687797,-19.165184776076785,0.0002926670713350177,0.4489765000762418,0.2124522919766605,0,0,0
p,2500.0,2500.0,0.3319698932596929,-728.1406486209894,-728.147243087933,-788.0695059544614,0.006594466943624866,-59.9222628665284,0.0002821669913828373,2.5174370410386473,0.21118674997705966,0,0,0
p,5000.0,5000.0,0.3319698932596929,-802.4581083130702,-802.461547798106,-881.1302365169681,0.0034394850358694384,-78.66868871886209,0.0002891670446842909,9.453401958104223,0.2192898750072345,0,0,0
n,0.05,2.8130037725112156,0.05,-220.3639562834354,-220.3639562834354,-220.14682560734113,0.0,0.2171306760942855,0.00032466696575284004,0.0005236250581219792,0.36352204193826765,0,0,0
n,0.1,2.8130037725112156,0.1,-206.17383688783815,-206.17383688783815,-205.97433185031173,0.0,0.19950503752642135,0.0003654999891296029,0.0005769999697804451,0.3634139159694314,0,0,0
n,0.25,2.8130037725112156,0.25,-191.6196191904114,-191.61961919041147,-191.61487436730317,5.684341886080802e-14,0.004744823108296714,0.0003822499420493841,0.000577291939407587,0.3831978329690173,0,0,0
