set,p,n,sigma_p,sigma_n,npoints,numerical_loglik,numerical_minus_justin,numerical_minus_my,numerical_seconds,numerical_bad_obs
"p q05, n median",1.428537522056322,0.3319698932596929,0.23549086493254084,0.5555320130975405,100,-223.9003550510103,-9.737516004082636,-9.737516004082636,0.00856779096648097,0
"p q05, n median",1.428537522056322,0.3319698932596929,0.23549086493254084,0.5555320130975405,500,-213.33030647123962,0.8325325756880488,0.8325325756880488,0.04272208397742361,0
"p q05, n median",1.428537522056322,0.3319698932596929,0.23549086493254084,0.5555320130975405,1000,-214.1166556271673,0.046183419760382094,0.046183419760382094,0.08826800005044788,0
"p q05, n median",1.428537522056322,0.3319698932596929,0.23549086493254084,0.5555320130975405,5000,-214.14828236753362,0.014556679394047478,0.014556679394047478,0.43258920905645937,0
"p q05, n median",1.428537522056322,0.3319698932596929,0.23549086493254084,0.5555320130975405,10000,-214.14661298783534,0.016226059092332434,0.016226059092332434,0.9102435839595273,0
"p q05, n median",1.428537522056322,0.3319698932596929,0.23549086493254084,0.5555320130975405,50000,-214.16007986804243,0.0027591788852419086,0.0027591788852419086,4.547798500047065,0
"p median, n median",2.8130037725112156,0.3319698932596929,0.23549086493254084,0.5555320130975405,100,-196.80176154504034,-7.8446443677956665,-7.8446443677956665,0.007528958027251065,0
"p median, n median",2.8130037725112156,0.3319698932596929,0.23549086493254084,0.5555320130975405,500,-188.4383077780149,0.5188093992297809,0.5188093992297809,0.03579579200595617,0
"p median, n median",2.8130037725112156,0.3319698932596929,0.23549086493254084,0.5555320130975405,1000,-189.35959675897703,-0.402479581732365,-0.402479581732365,0.07301470800302923,0
"p median, n median",2.8130037725112156,0.3319698932596929,0.23549086493254084,0.5555320130975405,5000,-189.03317338932948,-0.07605621208480784,-0.07605621208480784,0.3673955419799313,0
"p median, n median",2.8130037725112156,0.3319698932596929,0.23549086493254084,0.5555320130975405,10000,-188.94712715127736,0.009990025967312022,0.009990025967312022,0.7613286670530215,0
"p median, n median",2.8130037725112156,0.3319698932596929,0.23549086493254084,0.5555320130975405,50000,-188.95440031515886,0.0027168620858049053,0.0027168620858049053,3.811725041945465,0
"p q95, n median",6.4330147738318635,0.3319698932596929,0.23549086493254084,0.5555320130975405,100,-221.0766976802842,-26.736216473103582,-26.73621647310361,0.006381166982464492,0
"p q95, n median",6.4330147738318635,0.3319698932596929,0.23549086493254084,0.5555320130975405,500,-196.99622673807679,-2.655745530896155,-2.6557455308961835,0.03082941600587219,0
"p q95, n median",6.4330147738318635,0.3319698932596929,0.23549086493254084,0.5555320130975405,1000,-192.67918874961896,1.6612924575616717,1.6612924575616432,0.06631949997972697,0
"p q95, n median",6.4330147738318635,0.3319698932596929,0.23549086493254084,0.5555320130975405,5000,-194.46452726955596,-0.12404606237532789,-0.12404606237535631,0.3257940000621602,0
"p q95, n median",6.4330147738318635,0.3319698932596929,0.23549086493254084,0.5555320130975405,10000,-194.36890352808848,-0.028422320907850462,-0.028422320907878884,0.6520170830190182,0
"p q95, n median",6.4330147738318635,0.3319698932596929,0.23549086493254084,0.5555320130975405,50000,-194.34749547642502,-0.007014269244393745,-0.007014269244422167,3.2415270000929013,0
"p median, n q05",2.8130037725112156,0.07135474227375263,0.23549086493254084,0.5555320130975405,100,-380.6549624060875,-167.77748954373976,-167.77748954373976,0.007596875075250864,0
"p median, n q05",2.8130037725112156,0.07135474227375263,0.23549086493254084,0.5555320130975405,500,-214.5567626571691,-1.6792897948213295,-1.6792897948213295,0.03579745802562684,0
"p median, n q05",2.8130037725112156,0.07135474227375263,0.23549086493254084,0.5555320130975405,1000,-214.448495372985,-1.571022510637249,-1.571022510637249,0.07368012506049126,0
"p median, n q05",2.8130037725112156,0.07135474227375263,0.23549086493254084,0.5555320130975405,5000,-212.9763769483525,-0.09890408600475098,-0.09890408600475098,0.3566885000327602,0
"p median, n q05",2.8130037725112156,0.07135474227375263,0.23549086493254084,0.5555320130975405,10000,-213.3236672716492,-0.44619440930145515,-0.44619440930145515,0.7479112499859184,0
"p median, n q05",2.8130037725112156,0.07135474227375263,0.23549086493254084,0.5555320130975405,50000,-212.90425687196728,-0.026784009619518656,-0.026784009619518656,3.6526957909809425,0
"p median, n q95",2.8130037725112156,2.8341943152595137,0.23549086493254084,0.5555320130975405,100,-234.56398808966867,1.3237285819655256,1.3237285819654971,0.005851207999512553,0
"p median, n q95",2.8130037725112156,2.8341943152595137,0.23549086493254084,0.5555320130975405,500,-235.60963306843965,0.2780836031945455,0.2780836031945171,0.028400875045917928,0
"p median, n q95",2.8130037725112156,2.8341943152595137,0.23549086493254084,0.5555320130975405,1000,-235.74800877717468,0.13970789445951937,0.13970789445949094,0.06107962504029274,0
"p median, n q95",2.8130037725112156,2.8341943152595137,0.23549086493254084,0.5555320130975405,5000,-235.85993217764008,0.027784493994118975,0.027784493994090553,0.290035416954197,0
"p median, n q95",2.8130037725112156,2.8341943152595137,0.23549086493254084,0.5555320130975405,10000,-235.87399906306985,0.013717608564348893,0.013717608564320471,0.5936936249490827,0
"p median, n q95",2.8130037725112156,2.8341943152595137,0.23549086493254084,0.5555320130975405,50000,-235.88526480763534,0.0024518639988571067,0.002451863998828685,2.9724451669026166,0
