scale_c,median_total_shape,max_shape,old_max_shape_saddle_obs,exact_mpmath_loglik,head_default_loglik,head_exact_only_loglik,stable_loglik,saddlepoint_loglik,normal_loglik,max_abs_stable_saddle,max_abs_stable_normal,max_abs_skewness,max_excess_kurtosis
0.1,19.489338611118498,15.796398583851525,0,-728.2549202776945,-728.2549202714532,-728.2549202714532,-728.2549202714532,-727.1415454376076,-720.5045350545793,0.682887418272363,1.7986481971313495,8.43142838643766,154.274563319631
0.2,38.978677222236996,31.59279716770305,0,-725.7835264122305,-725.7835264026976,-725.7835264026976,-725.7835264026976,-725.3066981510352,-720.5045350545794,0.3154255229243057,1.1926454841993426,5.961920187138818,77.13728165981549
0.3,58.46801583335549,47.389195751554574,0,-724.6814999545468,-724.681499954549,-724.681499954549,-724.6882379435049,-724.4692027570933,-720.5045350545794,0.12033413369762647,0.8727468358971784,4.867887448562835,51.424854439877
0.4,77.95735444447399,63.1855943354061,0,-724.0183974952496,-724.0183974952496,-724.0183974952496,-724.0388111289836,-723.9613698703658,-720.5045350545793,0.016126722357956425,0.6659505493440794,4.21571419321883,38.56864082990775
0.5,97.44669305559248,78.98199291925762,0,-723.5611911307051,-723.5611911307068,-723.5611911307068,-723.5693684761911,-723.6107734445668,-720.5045350545793,0.09559070571905015,0.5165728895600333,3.7706494038991956,30.854912663926203
0.6,116.93603166671097,94.77839150310915,0,-723.2094424121383,-723.2094424121383,-723.2094424121383,-723.2116869683983,-723.3497568616735,-720.5045350545793,0.17641796775326513,0.39042956517316896,3.4421162249316617,25.712427219938498
0.7,136.42537027782947,110.57479008696066,0,-722.839237145004,-722.839237145004,-722.839237145004,-722.8384001197292,-723.1455491763118,-720.5045350545793,0.33578373636211056,0.19471002742256405,3.1867803867949487,22.039223331375858
0.8,155.91470888894798,126.3711886708122,0,-722.6554933540671,-722.6554933540671,-722.6554933540671,-722.6530324183282,-722.9800665012488,-720.5045350545794,0.3493304816815985,0.15111849214284934,2.980960093569409,19.28432041495387
0.9,175.4040475000665,142.16758725466372,0,-722.5327278660473,-722.5327278660473,-722.5327278660473,-722.5293960040799,-722.8423948864756,-720.5045350545794,0.330920703605605,0.14413293007952,2.8104761288125526,17.14161814662566
1.0,194.89338611118495,157.96398583851524,0,-722.4380463372843,-722.4380463372843,-722.4380463372843,-722.4341879999299,-722.7255010256436,-720.5045350545793,0.30601363276959237,0.14719298588668184,2.6662517629741336,15.427456331963102
1.05,204.6380554167442,165.86218513044102,0,-722.3973085150983,-722.3973085150983,-722.3973085150983,-722.3932984910988,-722.6732944494881,-720.5045350545793,0.2934206232455223,0.149944792049874,2.601995289985612,14.69281555425057
1.1,214.38272472230346,173.76038442236677,0,-1187.7834844930974,-1187.7834844930974,-1187.7834844930974,-722.3557526727272,-722.6246188633505,-720.5045350545794,0.2811958729335955,0.15294745506835572,2.5421713095059424,14.024960301784635
1.12,218.28059244452717,176.9196641391371,0,-1257.9630917619845,-1257.9630917619845,-1257.9630917619845,-722.3415196978806,-722.6060497137205,-720.5045350545794,0.2764458872253739,0.1541675422487503,2.519371106256104,13.774514582109909
1.1395002414285236,222.08106052651775,180.0,1,-94.44861799008436,-174.424847856746,-94.44861799008447,-722.3280356361568,-722.588408217299,-720.5045350545794,0.27190069107584636,0.15535316970173685,2.4977211126963725,13.538791630814064
1.14,222.17846016675082,180.07894385590737,20,-16.346632046203467,-174.33852354045752,-16.346632046203467,-722.3276949789148,-722.5879619381662,-720.5045350545793,0.27178535903159573,0.1553834384395092,2.497173571306251,13.532856431546579
1.16,226.07632788897453,183.23822357267767,143,-3461.2593997661224,-1063.9577895637622,-3461.2593997661224,-722.3142567628952,-722.570335022491,-720.5045350545794,0.267218318751435,0.15658769884372692,2.4755526139532127,13.299531320657847
1.2,233.87206333342195,189.5567830062183,162,3934.4808083774433,-1329.286680332021,3934.4808083774433,-722.288459753499,-722.5363876562046,-720.5045350545794,0.2583747203462132,0.15893857326360994,2.4339437242814177,12.85621360996925
1.4,272.85074055565894,221.14958017392132,185,-11964.146124941995,-1456.13556597255,-11964.146124941995,-722.1764640763304,-722.388704310467,-720.5045350545794,0.21998405564690682,0.1688343218429207,2.2533940216549975,11.019611665687927
1.6,311.82941777789597,252.7423773416244,193,-12922.140206112943,-793.2193951394486,-12922.140206112943,-722.085033954701,-722.2692149661934,-720.5045350545793,0.190164879754545,0.17530659641612267,2.107857096609415,9.642160207476937
1.8,350.808095000133,284.33517450932743,197,8749.607719205525,-722.0183385535382,8749.607719205525,-722.0077075279924,-722.1699428142758,-720.5045350545793,0.16691667514287634,0.17896441265307628,1.9873067290462734,8.57080907331283
2.0,389.7867722223699,315.9279716770305,200,10616.623552761193,-721.9500146341411,10616.623552761193,-721.9408355438779,-722.0857541900425,-720.5045350545793,0.1485432245212639,0.18058988320048786,1.8853247019495978,7.713728165981551
