set,source,p,n,sigma_p,sigma_n,method,loglik,seconds,nonfinite_obs,ll_minus_original,max_abs_obs_logdiff_vs_original
BG_ARX11_p0n0,"BadGood_BEGE draw_356 ARX(1,1), estimated p0/n0",0.24920104600205947,0.400845238255339,0.3580466990158595,0.45200298627032404,modified_scipy_approx,-302.4211949990587,0.0008198150026146322,0,0.0,0.0
BG_ARX11_p0n0,"BadGood_BEGE draw_356 ARX(1,1), estimated p0/n0",0.24920104600205947,0.400845238255339,0.3580466990158595,0.45200298627032404,original_intended_scipy_mpmath,-302.4211949990587,0.007901855977252126,0,0.0,0.0
BG_constant_p0n0,"BadGood_BEGE draw_356 constant, estimated p0/n0",1.8660471819906415,0.059323428188974237,0.17527228422305768,1.2560514573436654,modified_scipy_approx,-299.251549955021,0.0013873769785277545,0,0.0,0.0
BG_constant_p0n0,"BadGood_BEGE draw_356 constant, estimated p0/n0",1.8660471819906415,0.059323428188974237,0.17527228422305768,1.2560514573436654,original_intended_scipy_mpmath,-299.251549955021,0.008438452990958467,0,0.0,0.0
ID_filtered_best_p0n0,"InflationDeflation_BEGE seed 50 ARX(2,1), best AIC after excluding near-zero sigmas",0.562484,0.240307,0.632182,1.476408,modified_scipy_approx,-216.81403892733937,0.0009616659954190254,0,0.0,0.0
ID_filtered_best_p0n0,"InflationDeflation_BEGE seed 50 ARX(2,1), best AIC after excluding near-zero sigmas",0.562484,0.240307,0.632182,1.476408,original_intended_scipy_mpmath,-216.81403892733937,0.008069183997577056,0,0.0,0.0
ID_median_near_p0n0,"InflationDeflation_BEGE seed 52 ARX(1,1), closest to median p0/n0/sigma vector",2.00193,0.10178,0.306041,0.458856,modified_scipy_approx,-231.21230284485463,0.0011234399862587452,0,0.0,0.0
ID_median_near_p0n0,"InflationDeflation_BEGE seed 52 ARX(1,1), closest to median p0/n0/sigma vector",2.00193,0.10178,0.306041,0.458856,original_intended_scipy_mpmath,-231.21230284485463,0.01112573200953193,0,0.0,0.0
BG_constant_q95_shape,"BadGood_BEGE draw_356 constant, marginal 95th percentile fitted shape levels",21.2968985,0.62350133,0.17527228422305768,1.2560514573436654,modified_scipy_approx,-250.15644468450236,0.0011535350058693439,0,0.0,0.0
BG_constant_q95_shape,"BadGood_BEGE draw_356 constant, marginal 95th percentile fitted shape levels",21.2968985,0.62350133,0.17527228422305768,1.2560514573436654,original_intended_scipy_mpmath,-250.15644468450236,0.008054322999669239,0,0.0,0.0
BG_constant_max_shape_stress,"BadGood_BEGE draw_356 constant, max fitted shape levels as stress case",94.980366,3.47122889,0.17527228422305768,1.2560514573436654,modified_scipy_approx,-421.5331060124705,0.20229327399283648,0,0.0,0.0
BG_constant_max_shape_stress,"BadGood_BEGE draw_356 constant, max fitted shape levels as stress case",94.980366,3.47122889,0.17527228422305768,1.2560514573436654,original_intended_scipy_mpmath,-421.5331060124705,0.2041712400096003,0,0.0,0.0
