vary,value,p,n,my_loglik,justin_loglik,numerical_loglik,my_minus_justin,numerical_minus_justin,my_seconds,justin_seconds,numerical_seconds,my_bad_obs,justin_bad_obs,numerical_bad_obs
p,0.1,0.1,0.281123,-353.1961597962768,-353.1961597962768,-627.0126537189839,0.0,-273.8164939227071,0.001164900022558868,0.001721906941384077,2.7443237350089476,0,0,0
p,0.281123,0.281123,0.281123,-286.187041304072,-286.18704130407207,-324.1598107313421,5.684341886080802e-14,-37.97276942727001,0.0010574879124760628,0.0017082610866054893,2.425837949034758,0,0,0
p,0.5,0.5,0.281123,-254.62770165788837,-254.62770165788837,-254.12478958286832,0.0,0.5029120750200491,0.0010609700111672282,0.0016972549492493272,2.1636922229081392,0,0,0
p,1.0,1.0,0.281123,-215.1929623112199,-215.1929623112199,-215.16353808616378,0.0,0.029424225056118303,0.0011995340464636683,0.0018592639826238155,1.3054917718982324,0,0,0
p,2.627875,2.627875,0.281123,-184.5679033876549,-184.5679033876549,-184.58862410308132,0.0,-0.020720715426421066,0.0013525799149647355,0.001929805031977594,1.1477595129981637,0,0,0
p,5.0,5.0,0.281123,-197.59064514496032,-197.59064514496032,-197.50419428324793,0.0,0.08645086171239313,0.0012820280389860272,0.001864415011368692,0.9509411149192601,0,0,0
p,10.0,10.0,0.281123,-231.07570981623707,-231.07570981623707,-230.99432287742383,0.0,0.08138693881323888,0.0013612880138680339,0.001967240939848125,0.8612375860102475,0,0,0
p,25.0,25.0,0.281123,-300.8798278879638,-300.87982788796353,-301.25547535089765,-2.8421709430404007e-13,-0.37564746293412554,0.0009446860058233142,0.0016590500017628074,0.7914461039472371,0,0,0
p,50.0,50.0,0.281123,-362.95015031340904,-362.9501503134088,-362.6387286868111,-2.2737367544323206e-13,0.31142162659773476,0.021692640031687915,0.02132731501478702,0.7231769629288465,0,0,0
p,100.0,100.0,0.281123,-430.63087462194324,-430.630874621943,-431.9039146908256,-2.2737367544323206e-13,-1.273040068882608,0.024379178998060524,0.02500102506019175,0.6580584660405293,0,0,0
p,150.0,150.0,0.281123,-471.8416568391593,-471.8416568391615,-475.0983787654519,2.1600499167107046e-12,-3.2567219262904246,0.0856437620241195,0.09518446400761604,0.6316634210525081,0,0,0
p,180.0,180.0,0.281123,-490.67737525998757,-490.63339743937246,-494.41466118385443,-0.043977820615111796,-3.7812637444819757,0.001126537099480629,0.09980902506504208,0.6098907550331205,0,0,0
p,190.0,190.0,0.281123,-496.26691349913756,-496.2315554565328,-499.9974875560778,-0.03535804260474151,-3.765932099544955,0.0010372380493208766,0.10132786899339408,0.607774556032382,0,0,0
p,199.0,199.0,0.281123,-501.06080437901494,-501.03199057199413,-505.2491258874374,-0.0288138070208106,-4.217135315443272,0.0010362829780206084,0.10274223808664829,0.6054715370992199,0,0,0
p,200.0,200.0,0.281123,-501.5805158390897,-501.55236790519893,-502.0527340135522,-0.02814793389075021,-0.500366108353262,0.0010456449817866087,0.10280178999528289,0.6075975809944794,0,0,0
p,500.0,500.0,0.281123,-597.7938304154762,-597.8092149868271,-616.616072383346,0.015384571350864462,-18.80685739651892,0.0009677070192992687,0.15930069494061172,0.5447422370780259,0,0,0
p,1000.0,1000.0,0.281123,-671.5420703584109,-671.5547032971676,-693.7301897259854,0.012632938756723888,-22.17548642881775,0.0009625570382922888,0.26456677506212145,0.519501946051605,0,0,0
n,0.1,2.627875,0.1,-195.8263716113397,-195.8263716113397,-195.90695318614172,0.0,-0.08058157480201089,0.0013083349913358688,0.0019197050714865327,1.0451055850135162,0,0,0
n,0.281123,2.627875,0.281123,-184.5679033876549,-184.5679033876549,-184.58862410308132,0.0,-0.020720715426421066,0.001344469957984984,0.0019306059693917632,1.148121761973016,0,0,0
n,0.5,2.627875,0.5,-189.72333665339437,-189.72333665339434,-189.71429820487262,-2.842170943040401e-14,0.00903844852172142,0.0013860800536349416,0.00196152797434479,1.2167724570026621,0,0,0
n,1.0,2.627875,1.0,-215.1891179125405,-215.18911791254055,-215.1416646601203,5.684341886080802e-14,0.04745325242024023,0.0010402400512248278,0.0016951700672507286,0.5526050140615553,0,0,0
n,2.627875,2.627875,2.627875,-282.6398398344443,-282.6398398344444,-282.6039544131795,1.1368683772161603e-13,0.03588542126487937,0.0015811979537829757,0.00207078002858907,0.737735376926139,0,0,0
n,5.0,2.627875,5.0,-340.4672587621566,-340.4672587621566,-340.44427743518503,0.0,0.022981326971546423,0.0008379170903936028,0.0015203040093183517,0.6178817780455574,0,0,0
n,10.0,2.627875,10.0,-407.35897659066495,-407.35897659066495,-407.34629481134186,0.0,0.012681779323088449,0.0008408869616687298,0.0016166309360414743,0.6767343039391562,0,0,0
n,25.0,2.627875,25.0,-500.1787473446746,-500.1787473446746,-500.17336658237997,0.0,0.005380762294635133,0.0009474219987168908,0.001640627975575626,0.9436124410713091,0,0,0
n,50.0,2.627875,50.0,-572.5286357323089,-572.5286357323088,-572.5259290707254,-1.1368683772161603e-13,0.0027066615833746255,0.020648178993724287,0.0210644289618358,0.8129602789413184,0,0,0
n,100.0,2.627875,100.0,-645.8975799376317,-645.8975799376315,-645.896267308272,-2.2737367544323206e-13,0.001312629359517814,0.021296582999639213,0.02213440602645278,0.7485518109751865,0,0,0
n,150.0,2.627875,150.0,-689.0934541618783,-689.0934541618781,-689.0926157536348,-2.2737367544323206e-13,0.0008384082432257856,0.021897617960348725,0.022507775924168527,0.7311740079894662,0,0,0
n,180.0,2.627875,180.0,-708.4654801257913,-708.5613021379162,-708.5606229317452,0.09582201212492691,0.0006792061709575137,0.0009626079117879272,0.022824098938144743,0.7003944660536945,0,0,0
n,190.0,2.627875,190.0,-714.2478041044087,-714.3387661625459,-714.338128947566,0.09096205813716551,0.0006372149798608007,0.0009713970357552171,0.02281506801955402,0.6980198400560766,0,0,0
n,199.0,2.627875,199.0,-719.1986266227873,-719.2856174437864,-719.2850144424233,0.08699082099906263,0.0006030013630606845,0.0009718630462884903,0.022714323946274817,0.6956443380331621,0,0,0
n,200.0,2.627875,200.0,-719.734902876949,-719.821473731108,-719.8208743425079,0.08657085415893562,0.0005993886001078863,0.0009649560088291764,0.022775376914069057,0.9565388900227845,0,0,0
n,500.0,2.627875,500.0,-817.9279070949319,-817.9632555151328,-817.9630896948681,0.03534842020087581,0.00016582026466949173,0.0009734539780765772,0.023355040000751615,0.6561704400228336,0,0,0
n,1000.0,2.627875,1000.0,-892.3379622315751,-892.3557574213487,-892.3557371035799,0.0177951897735511,2.031776875810465e-05,0.0009695430053398013,0.023494306951761246,0.6406102919718251,0,0,0
