seed,draw,mean_type,success,status,loglik,AIC,BIC,stored_loglik,stored_AIC,stored_BIC,corrected_loglik,corrected_AIC,corrected_BIC,corrected_loglik_delta,selection_eligible,selection_reason,selection_shape_reference,selection_high_shape_density,selection_loglik_upper_threshold,selection_loglik_plausible,selection_variance_bound,selection_bounds_ok,selection_constraints_ok,selection_mean_stationary,selection_implied_variance_bounds_ok,selection_shape_max,selection_max_p_t,selection_max_n_t,selection_sigma_min,selection_persistence_p,selection_persistence_n,selection_uncond_var_ref,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max
1,1,"ARX(1,1)",True,0,-171.3953023032302,364.7906046064604,401.86762291586473,-171.3953023047528,364.7906046095056,401.8676229189099,-171.3953023032302,364.7906046064604,401.86762291586473,1.522579395896173e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,24.465582082964794,3.8687818303944717,24.465582082964794,0.3150269601551644,0.9700265931623896,0.9864174081650283,0.011888435170086219,0.1425332717747266,0.278664385257563,6.554915826430747,9.956003885422454e-08,1.4038411842927165e-06,99560.03885422453,1403841.1842927164
1,2,"ARX(1,1)",True,0,-172.0368244544108,366.0736489088216,403.1506672182259,-172.03682445479774,366.0736489095955,403.1506672189998,-172.0368244544108,366.0736489088216,403.1506672182259,3.8693315218552016e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,24.571126193101048,24.571126193101048,19.783675780738164,0.2350783465704985,0.7369984649538337,0.9774250844971653,0.06397744737061162,0.14909293807400487,0.2537875565007798,7.4028460250489125,9.450452844667204e-08,1.4114583638620962e-06,94504.52844667205,1411458.363862096
1,3,"ARX(1,1)",True,0,-172.03663756467537,366.07327512935075,403.15029343875506,-172.0366375713279,366.0732751426558,403.1502934520601,-172.03663756467537,366.07327512935075,403.15029343875506,6.652527417827514e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,24.28365203599712,24.28365203599712,19.732601283360403,0.2350533234556915,0.7368994304485718,0.9772694500929082,0.06380446016869253,0.14920033118895037,0.2536963978001778,7.396759680591006,9.452034530088383e-08,1.411775997010305e-06,94520.34530088384,1411775.997010305
1,4,"ARX(1,1)",True,0,-172.04362194660558,366.08724389321117,403.1642622026155,-172.0436219466857,366.0872438933714,403.1642622027757,-172.04362194660558,366.08724389321117,403.1642622026155,8.01207988843089e-11,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,26.264391514126583,26.264391514126583,19.801384938564997,0.2325882070021727,0.7272615088576566,0.9769799553263827,0.06631055775092767,0.14886746091313882,0.25407656150190505,7.46707417776374,9.452945888935926e-08,1.4110928901531573e-06,94529.45888935924,1411092.8901531573
1,5,"ARX(1,1)",True,0,-171.31326044564287,364.62652089128574,401.70353920069005,-171.3132604473441,364.6265208946882,401.7035392040925,-171.31326044564287,364.62652089128574,401.70353920069005,1.7012382613756927e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,36.291062169754795,3.9337000915120486,36.291062169754795,0.3122512075859048,0.9685012866260168,0.9998815266206496,0.005662436315555816,0.1293656505661928,0.2645885823854714,6.7957747145422385,9.91469486872784e-08,1.4062322486030445e-06,99146.9486872784,1406232.2486030445
1,6,"ARX(1,1)",True,0,-172.03855273397582,366.07710546795164,403.15412377735595,-172.03855273493042,366.0771054698608,403.1541237792652,-172.03855273397582,366.07710546795164,403.15412377735595,9.545999546389794e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,25.091095395590308,25.091095395590308,19.207680837334937,0.2337394159870174,0.7357579020685757,0.9766872495987915,0.06466895416937224,0.14919130443842282,0.2539152189533169,7.427540348719486,9.439726209965836e-08,1.4107244240726904e-06,94397.26209965836,1410724.4240726903
1,7,"ARX(1,1)",True,0,-171.34637054642184,364.6927410928437,401.769759402248,-171.3463704389966,364.6927408779932,401.7697591873975,-171.34637054642184,364.6927410928437,401.769759402248,-1.0742525091700372e-07,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,30.17814325905168,3.79001236009083,30.17814325905168,0.3195431160775158,0.9698250170342183,0.9938975279883875,0.00822646782656521,0.1376301793293045,0.27499534247363266,6.6529334543587675,9.965453724933993e-08,1.4070968695919916e-06,99654.53724933992,1407096.8695919916
1,8,"ARX(1,1)",True,0,-172.0364725943768,366.0729451887536,403.1499634981579,-172.03647259437804,366.0729451887561,403.1499634981604,-172.0364725943768,366.0729451887536,403.1499634981579,1.2505552149377763e-12,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,24.334275034184344,24.334275034184344,19.605737980069392,0.2353109906430022,0.7376478919935642,0.9770741261994045,0.06394622221972823,0.14946487452323653,0.25403116335468223,7.396484270721693,9.452361881789726e-08,1.4117113694219925e-06,94523.61881789727,1411711.3694219925
1,9,"ARX(1,1)",True,0,-171.34289930285598,364.68579860571197,401.7628169151163,-171.34289930257827,364.68579860515655,401.76281691456086,-171.34289930285598,364.68579860571197,401.7628169151163,-2.7770852284447756e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,37.90684121044613,4.153937334179298,37.90684121044613,0.3040320409877934,0.9661689788269326,0.9977769781466407,0.006718271190987907,0.12870529941218445,0.2652180862698048,6.679565390186509,9.85011792266145e-08,1.4065630018329474e-06,98501.1792266145,1406563.0018329474
1,10,"ARX(1,1)",True,0,-172.0369724778962,366.0739449557924,403.1509632651967,-172.0369724780108,366.0739449560216,403.1509632654259,-172.0369724778962,366.0739449557924,403.1509632651967,1.1459633242338896e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,24.661511233990336,24.661511233990336,19.470240842128614,0.2354280878717222,0.7358865965559653,0.9774331997079504,0.0644553355702629,0.14949598444847487,0.25430849653437315,7.417717748441918,9.459347689890003e-08,1.4118022769196622e-06,94593.47689890003,1411802.276919662
