parameter,true,estimate,error,abs_error,relative_abs_error
const,0.08,0.10568061371078628,0.025680613710786282,0.025680613710786282,0.3210076713848285
Inflation_lag_1,0.25,0.24330824709437535,-0.006691752905624654,0.006691752905624654,0.026767011622498615
SPF,0.7,0.6739657771079722,-0.026034222892027725,0.026034222892027725,0.03719174698861104
p0,1.5,1.4747212175742876,-0.025278782425712354,0.025278782425712354,0.01685252161714157
n0,1.3,1.3113284427274072,0.011328442727407184,0.011328442727407184,0.00871418671339014
rho_p,0.1,0.059850093106927287,-0.04014990689307272,0.04014990689307272,0.4014990689307272
rho_n,0.12,0.11581073317769812,-0.004189266822301876,0.004189266822301876,0.03491055685251564
phi_p_plus,0.24,0.21691567717216223,-0.02308432282783776,0.02308432282783776,0.096184678449324
phi_p_minus,0.1,0.06669167672961288,-0.03330832327038713,0.03330832327038713,0.3330832327038713
phi_n_plus,0.09,0.09972059446987412,0.009720594469874125,0.009720594469874125,0.10800660522082361
phi_n_minus,0.23,0.2352070075404046,0.005207007540404596,0.005207007540404596,0.022639163219150413
sigma_p,0.25,0.2626270615537238,0.012627061553723784,0.012627061553723784,0.050508246214895136
sigma_n,0.35,0.3514786242061917,0.0014786242061917143,0.0014786242061917143,0.004224640589119184
