seed,draw,mean_type,success,status,loglik,AIC,BIC,stored_loglik,stored_AIC,stored_BIC,corrected_loglik,corrected_AIC,corrected_BIC,corrected_loglik_delta,selection_eligible,selection_reason,selection_shape_reference,selection_high_shape_density,selection_loglik_upper_threshold,selection_loglik_plausible,selection_variance_bound,selection_bounds_ok,selection_constraints_ok,selection_mean_stationary,selection_implied_variance_bounds_ok,selection_shape_max,selection_max_p_t,selection_max_n_t,selection_sigma_min,selection_persistence_p,selection_persistence_n,selection_uncond_var_ref,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max
1,1,"ARX(1,1)",True,0,-170.06440114351773,360.12880228703546,393.83518256831206,-170.06440114306332,360.12880228612664,393.8351825674033,-170.06440114351773,360.12880228703546,393.83518256831206,-4.5440629037329927e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.77931758302073,39.77931758302073,3.0631899278714627,0.1845819062155249,0.8194381628003917,0.8194381628003917,0.0782812729111213,0.16456727132814453,0.24614007151923678,2.6357324771655053,9.538634538937355e-08,1.4005740146241368e-06,95386.34538937356,1400574.0146241367
1,2,"ARX(1,1)",True,0,-170.0646222909083,360.1292445818166,393.8356248630932,-170.06462228987428,360.12924457974856,393.8356248610252,-170.0646222909083,360.1292445818166,393.8356248630932,-1.0340102107875282e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.657053107944265,39.657053107944265,3.0950561487838213,0.1845762736452806,0.8194082956871909,0.8194082956871909,0.07798677893845218,0.16409266812712192,0.24560680594281264,2.627127696584205,9.534496503086355e-08,1.4006184668600523e-06,95344.96503086355,1400618.4668600522
1,3,"ARX(1,1)",True,0,-170.0644241410396,360.1288482820792,393.8352285633558,-170.0644241405436,360.1288482810872,393.8352285623638,-170.0644241410396,360.1288482820792,393.8352285633558,-4.960156729794107e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.87293254930505,39.87293254930505,3.0627048784955817,0.1843010713891161,0.8189481951865697,0.8189481951865697,0.07827076516492368,0.16457588429405004,0.24600822060367053,2.6340538902316695,9.536861365034263e-08,1.4004122242897436e-06,95368.61365034264,1400412.2242897437
1,4,"ARX(1,1)",True,0,-170.06435516709283,360.12871033418566,393.83509061546226,-170.06435516709394,360.1287103341879,393.8350906154645,-170.06435516709283,360.12871033418566,393.83509061546226,1.1084466677857563e-12,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.994584755488745,39.994584755488745,3.073104452005065,0.1842256713290022,0.8191503742084814,0.8191503742084814,0.07837003719773604,0.16439298702294233,0.2460934240571917,2.639872627687345,9.540551837398776e-08,1.400517441741737e-06,95405.51837398775,1400517.441741737
1,5,"ARX(1,1)",True,0,-170.0645807537424,360.1291615074848,393.8355417887614,-170.0645807537114,360.1291615074228,393.8355417886994,-170.0645807537424,360.1291615074848,393.8355417887614,-3.100808498857077e-11,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.46562142145852,40.46562142145852,3.067679023198413,0.1836420170112402,0.8189713025427048,0.8189713025427048,0.07874633696979955,0.16425663217817676,0.24657683416696807,2.654533841268497,9.539494817210328e-08,1.4003300184697183e-06,95394.94817210326,1400330.0184697183
1,6,"ARX(1,1)",True,0,-170.06446139919066,360.1289227983813,393.83530307965793,-170.06446139967662,360.12892279935323,393.8353030806298,-170.06446139919066,360.1289227983813,393.83530307965793,4.859543878410477e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.70365719587703,39.70365719587703,3.0613139065420767,0.1846660587310171,0.8196694989523468,0.8196694989523468,0.07812541516921069,0.16454725126685668,0.24592516807745324,2.6330666685846866,9.539981431460115e-08,1.400596571687527e-06,95399.81431460116,1400596.571687527
1,7,"ARX(1,1)",True,0,-170.06435912598965,360.1287182519793,393.8350985332559,-170.06435912359603,360.12871824719207,393.8350985284687,-170.06435912598965,360.1287182519793,393.8350985332559,-2.3936195248097647e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.01304093138668,40.01304093138668,3.064422971845212,0.1842556491423595,0.8190443753670786,0.8190443753670786,0.07848828702037239,0.16444269313625173,0.2462699552712272,2.6420535547402606,9.540178568048618e-08,1.4005569321234405e-06,95401.78568048617,1400556.9321234406
1,8,"ARX(1,1)",True,0,-170.0643895330063,360.1287790660126,393.8351593472892,-170.0643895346642,360.1287790693284,393.835159350605,-170.0643895330063,360.1287790660126,393.8351593472892,1.6578951544943266e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.8926466144344,39.8926466144344,3.0581615558135087,0.1845163604471147,0.8192298524938615,0.8192298524938615,0.07848415349552448,0.16458936969432492,0.24641449853660258,2.6415822669082774,9.537431217232798e-08,1.400534317757542e-06,95374.31217232798,1400534.317757542
1,9,"ARX(1,1)",True,0,-170.0645918847938,360.1291837695876,393.8355640508642,-170.0645918844,360.1291837688,393.8355640500766,-170.0645918847938,360.1291837695876,393.8355640508642,-3.9381120586767793e-10,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,39.480064842984504,39.480064842984504,3.0570249393756743,0.1851431892675483,0.8195551212602358,0.8195551212602358,0.0783154995143113,0.1646711704203048,0.24622916292921923,2.6316145964963757,9.540116917587515e-08,1.4007191777391256e-06,95401.16917587515,1400719.1777391257
1,10,"ARX(1,1)",True,0,-170.06446355550503,360.12892711101006,393.83530739228667,-170.06446355956146,360.1289271191229,393.83530740039953,-170.06446355550503,360.12892711101006,393.83530739228667,4.056431635035551e-09,True,eligible,200.0,False,-150.0,True,0.87,True,True,True,True,40.305431877215995,40.305431877215995,3.071705262271809,0.1837752197170979,0.8187008767686808,0.8187008767686808,0.0786637689719952,0.16431672007885142,0.24637896071800375,2.6476800394771267,9.540670768953837e-08,1.400445373664002e-06,95406.70768953837,1400445.373664002
