source_folder,source_summary,model_family,mean_model,mean_folder,estimation_scripts,notes,selection,sample_start,sample_end,sample_nobs,AIC,BIC,loglik,draw_id,rep_idx,max_p_shape,max_n_shape,variance_reference,mean_const,mean_infl_lag1,mean_infl_lag2,mean_spf,mean_spf_lag1,p_bar,n_bar,p0,n0,sym_cont,rho,rho_p,rho_n,phi_plus,phi_minus,phi_p,phi_n,phi_p_plus,phi_p_minus,phi_n_plus,phi_n_minus,sigma_p,sigma_n,shared_sigma
RandomDraw_Constant,RandomDraw_Constant/ARX11/summary_draws.csv,Constant BEGE,"ARX(1,1)",ARX11,BEGE_constant.py,Invariant shape parameters.,best_valid_by_aic,1970Q3,2022Q4,210,-3526.0284418121278,-3502.598689097105,1770.0142209060637,19.0,331.0,1.3437242619418095,7.656275738162677,0.35653115310204536,0.0855393224178959,0.2657489858506417,,0.7582370047439244,,1.3437242619418095,7.656275738162677,,,,,,,,,,,,,,,0.3382069456443214,0.1627638824569332,
RandomDraw_Constant,RandomDraw_Constant/ARX22/summary_draws.csv,Constant BEGE,"ARX(2,2)",ARX22,BEGE_constant.py,Invariant shape parameters.,best_valid_by_aic,1970Q3,2022Q4,210,-2577.019433119851,-2546.895465343394,1297.5097165599254,87.0,97.0,1.0772604540459576,7.922739547742145,0.3606879178043223,0.0795452612276693,0.2571078534465741,0.0604949015890234,0.7209708925211415,-0.0167156171191024,1.0772604540459576,7.922739547742145,,,,,,,,,,,,,,,0.37570157897685,0.1622749637561367,
RandomDraw_Constant,RandomDraw_Constant/ARX21/summary_draws.csv,Constant BEGE,"ARX(2,1)",ARX21,BEGE_constant.py,Invariant shape parameters.,best_valid_by_aic,1970Q3,2022Q4,210,-729.3550192931625,-702.5781590474228,372.67750964658126,43.0,410.0,2.233667174354472,1.7663328257142366,0.3505039515945663,0.0897997931978367,0.2830073742340684,0.0928400133814223,0.6294645059932854,,2.233667174354472,1.7663328257142366,,,,,,,,,,,,,,,0.2900279138611585,0.3034211646072776,
RandomDraw_ID,RandomDraw_ID/ARX11/summary_draws.csv,Inflation/Deflation BEGE-GARCH,"ARX(1,1)",ARX11,ID_GJR1.py; ID_GJR2.py,Positive shocks load on p_t and negative shocks load on n_t.,best_valid_by_aic,1970Q3,2022Q4,210,51.02933616139643,87.84751899928858,-14.514668080698216,36.0,43.0,149.70919686006994,187.99725677619102,0.14661621771354472,0.000506008961414,0.255728207080761,,0.6970970648307406,,,,6.69522020763773,4.4874918103369,,,0.2986364440788679,0.9525836134202608,,,,,1.196051638878138,,,0.0208551024430696,0.1433500575364351,0.0448694895462274,
RandomDraw_BG_GARCH,RandomDraw_BG_GARCH/ARX11/summary_draws.csv,Bad/Good BEGE-GARCH,"ARX(1,1)",ARX11,BG_GJR1.py; BG_GJR2.py,Good and bad shape processes respond symmetrically to shock sign.,best_valid_by_aic,1970Q3,2022Q4,210,81.0796315285487,117.89781436644084,-29.53981576427435,20.0,21.0,172.89521025145723,26.006909993625886,0.0010836842805997812,0.158580527547365,0.1315629227722679,,0.799657859192592,,,,0.1743568539917715,0.0050765407266488,,,0.9989669689410092,0.4698497634411858,,,2.4000310392633187e-05,0.5119070247778307,,,,,0.0347887214379254,0.414610779041203,
RandomDraw_BG_GARCH,RandomDraw_BG_GARCH/constant/summary_draws.csv,Bad/Good BEGE-GARCH,Constant,constant,BG_GJR1.py; BG_GJR2.py,Good and bad shape processes respond symmetrically to shock sign.,best_valid_by_aic,1970Q3,2022Q4,210,90.8390502081642,117.61591045390396,-37.4195251040821,1.0,49.0,156.12215346015225,70.14077295104245,0.46226896315751537,,,,,,,,3.7999457701974526,4.965898379486863,,,0.8451467958879784,0.7446611840571079,,,0.0243047284621381,0.1845397903468524,,,,,0.0416180133731183,0.3029245813887748,
RandomDraw_Full_Dec,RandomDraw_Full_Dec/constant/summary_draws.csv,Full BEGE-GJR near-start archive,Constant,constant,BEGE_GJR1.py; BEGE_GJR2.py,Later full-GJR local run retained for audit.,best_valid_by_aic,1970Q3,2022Q4,210,141.63048204444257,175.10155735161726,-60.81524102222129,34.0,12.0,152.39011618316442,66.57711240306965,0.23336808460443775,,,,,,,,7.046416159354419,1.5757568892482805,,,0.0764704307585675,0.422780432730626,,,,,0.2072161188226164,0.1039247059354202,0.1295887209463266,0.9670077146969668,0.0760561376634537,0.3496168606536489,
RandomDraw_GJR,RandomDraw_GJR/ARX11/summary_draws.csv,Full BEGE-GJR archive,"ARX(1,1)",ARX11,BEGE_GJR1.py; BEGE_GJR2.py,Earlier full-GJR local run retained for audit.,best_valid_by_aic,1970Q3,2022Q4,210,164.3882001231345,207.9005980224616,-69.19410006156726,12.0,33.0,159.36010082528207,75.72285003813771,0.5573182398297691,-0.0579653835946079,0.692993228351132,,0.7071480375546738,,,,7.328840190312372,8.86356360559567,,,0.4444113228866271,0.0139939421980253,,,,,1e-05,0.0372989969720091,0.2376902938735898,0.4541615482918134,0.048407029695875,0.2468601560335193,
RandomDraw_GJR,RandomDraw_GJR/constant/summary_draws.csv,Full BEGE-GJR archive,Constant,constant,BEGE_GJR1.py; BEGE_GJR2.py,Earlier full-GJR local run retained for audit.,best_valid_by_aic,1970Q3,2022Q4,210,176.69345418859518,210.16452949576987,-78.34672709429759,1.0,3.0,167.89494283102036,58.67894225973212,0.4391531523449567,,,,,,,,0.7715122391560671,5.789477251329478,,,0.2529411040129303,0.0720162264284482,,,,,0.1110217473844628,0.0551794233259682,0.0554214695589449,0.4919489436220784,0.05196514288915,0.274761395450371,
RandomDraw_Full_Dec,RandomDraw_Full_Dec/ARX11/summary_draws.csv,Full BEGE-GJR near-start archive,"ARX(1,1)",ARX11,BEGE_GJR1.py; BEGE_GJR2.py,Later full-GJR local run retained for audit.,best_valid_by_aic,1970Q3,2022Q4,210,178.34253070705893,221.854928606386,-76.17126535352946,22.0,18.0,111.66318678961626,45.816206696241075,0.1262840663140692,0.1690051258967535,-0.1192260419806148,,0.8888256782715889,,,,0.8938857069641137,1.0767271036419694,,,0.9919806042299985,1.0399748813154327e-05,,,,,1.000000003230847e-05,1.0000000000006255e-05,1.5,1.000000038838645e-05,0.0454930318513298,0.3399513920133851,
RandomDraw_ID,RandomDraw_ID/constant/summary_draws.csv,Inflation/Deflation BEGE-GARCH,Constant,constant,ID_GJR1.py; ID_GJR2.py,Positive shocks load on p_t and negative shocks load on n_t.,best_valid_by_aic,1970Q3,2022Q4,210,185.77587014392668,212.55273038966644,-84.88793507196334,8.0,41.0,27.526382547668703,124.17947743898257,0.10337919588945478,,,,,,,,0.933518515515473,0.1257032795503645,,,1.0014097553246422e-05,0.9989825574086472,,,,,1.245341892668796,,,1.000001459324672e-05,0.3325034502229645,0.0368556473023437,
RandomDraw_Constant,RandomDraw_Constant/constant/summary_draws.csv,Constant BEGE,Constant,constant,BEGE_constant.py,Invariant shape parameters.,best_valid_by_aic,1970Q3,2022Q4,210,271.5951730730264,284.9836031958962,-131.79758653651317,92.0,404.0,2.5492333333529458,0.4507666618312868,0.4839354434319481,,,,,,2.5492333333529458,0.4507666618312868,,,,,,,,,,,,,,,0.2921867626437164,0.7686157244735433,
RandomDraw_GJR_Oct,RandomDraw_GJR_Oct/constant/summary_draws.csv,Full BEGE-GJR,Constant,constant,BEGE_GJR1.py; BEGE_GJR2.py,Full p_t and n_t GJR recursions.,best_valid_by_aic,1970Q3,2022Q4,210,346.73903107565,380.21010638282473,-163.369515537825,52.0,6.0,36.42827801707946,6.888110889287338,0.09735318888028183,,,,,,,,1.2179854529505527,0.1404310337745358,,,0.38604326707055,0.4921867105303047,,,,,0.5084339744287064,0.1170091085615439,0.7180918235968954,0.2017407172161562,0.2041722767160716,0.575927133174355,
