source_folder,source_summary,model_family,mean_model,mean_folder,estimation_scripts,notes,sample_start,sample_end,sample_nobs,sample_caveat,n_estimates,n_passing_checks,best_all_by_aic_aic,best_all_by_aic_bic,best_all_by_aic_loglik,best_all_by_aic_draw_id,best_all_by_aic_rep_idx,best_all_by_bic_aic,best_all_by_bic_bic,best_all_by_bic_loglik,best_all_by_bic_draw_id,best_all_by_bic_rep_idx,best_valid_by_aic_aic,best_valid_by_aic_bic,best_valid_by_aic_loglik,best_valid_by_aic_draw_id,best_valid_by_aic_rep_idx,best_valid_by_bic_aic,best_valid_by_bic_bic,best_valid_by_bic_loglik,best_valid_by_bic_draw_id,best_valid_by_bic_rep_idx
RandomDraw_Constant,RandomDraw_Constant/ARX11/summary_draws.csv,Constant BEGE,"ARX(1,1)",ARX11,BEGE_constant.py,Invariant shape parameters.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",50000,50000,-3526.0284418121278,-3502.598689097105,1770.0142209060637,19.0,331.0,-3526.0284418121278,-3502.598689097105,1770.0142209060637,19.0,331.0,-3526.0284418121278,-3502.598689097105,1770.0142209060637,19.0,331.0,-3526.0284418121278,-3502.598689097105,1770.0142209060637,19.0,331.0
RandomDraw_Constant,RandomDraw_Constant/ARX22/summary_draws.csv,Constant BEGE,"ARX(2,2)",ARX22,BEGE_constant.py,Invariant shape parameters.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",50000,50000,-2577.019433119851,-2546.895465343394,1297.5097165599254,87.0,97.0,-2577.019433119851,-2546.895465343394,1297.5097165599254,87.0,97.0,-2577.019433119851,-2546.895465343394,1297.5097165599254,87.0,97.0,-2577.019433119851,-2546.895465343394,1297.5097165599254,87.0,97.0
RandomDraw_Constant,RandomDraw_Constant/ARX21/summary_draws.csv,Constant BEGE,"ARX(2,1)",ARX21,BEGE_constant.py,Invariant shape parameters.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",50000,50000,-729.3550192931625,-702.5781590474228,372.67750964658126,43.0,410.0,-729.3550192931625,-702.5781590474228,372.67750964658126,43.0,410.0,-729.3550192931625,-702.5781590474228,372.67750964658126,43.0,410.0,-729.3550192931625,-702.5781590474228,372.67750964658126,43.0,410.0
RandomDraw_ID,RandomDraw_ID/ARX11/summary_draws.csv,Inflation/Deflation BEGE-GARCH,"ARX(1,1)",ARX11,ID_GJR1.py; ID_GJR2.py,Positive shocks load on p_t and negative shocks load on n_t.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",2000,1999,51.02933616139643,87.84751899928858,-14.514668080698216,36.0,43.0,51.02933616139643,87.84751899928858,-14.514668080698216,36.0,43.0,51.02933616139643,87.84751899928858,-14.514668080698216,36.0,43.0,51.02933616139643,87.84751899928858,-14.514668080698216,36.0,43.0
RandomDraw_BG_GARCH,RandomDraw_BG_GARCH/ARX11/summary_draws.csv,Bad/Good BEGE-GARCH,"ARX(1,1)",ARX11,BG_GJR1.py; BG_GJR2.py,Good and bad shape processes respond symmetrically to shock sign.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",2000,1946,-1553.9299258350918,-1517.1117429971996,787.9649629175459,22.0,25.0,-1553.9299258350918,-1517.1117429971996,787.9649629175459,22.0,25.0,81.0796315285487,117.89781436644084,-29.53981576427435,20.0,21.0,81.0796315285487,117.89781436644084,-29.53981576427435,20.0,21.0
RandomDraw_BG_GARCH,RandomDraw_BG_GARCH/constant/summary_draws.csv,Bad/Good BEGE-GARCH,Constant,constant,BG_GJR1.py; BG_GJR2.py,Good and bad shape processes respond symmetrically to shock sign.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",2000,1222,-2977.0338408602784,-2950.2569806145384,1496.5169204301392,35.0,38.0,-2977.0338408602784,-2950.2569806145384,1496.5169204301392,35.0,38.0,90.8390502081642,117.61591045390396,-37.4195251040821,1.0,49.0,90.8390502081642,117.61591045390396,-37.4195251040821,1.0,49.0
RandomDraw_Full_Dec,RandomDraw_Full_Dec/constant/summary_draws.csv,Full BEGE-GJR near-start archive,Constant,constant,BEGE_GJR1.py; BEGE_GJR2.py,Later full-GJR local run retained for audit.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",2000,1969,-10961.523143535956,-10928.05206822878,5490.761571767977,3.0,49.0,-10961.523143535956,-10928.05206822878,5490.761571767977,3.0,49.0,141.63048204444257,175.10155735161726,-60.81524102222129,34.0,12.0,141.63048204444257,175.10155735161726,-60.81524102222129,34.0,12.0
RandomDraw_GJR,RandomDraw_GJR/ARX11/summary_draws.csv,Full BEGE-GJR archive,"ARX(1,1)",ARX11,BEGE_GJR1.py; BEGE_GJR2.py,Earlier full-GJR local run retained for audit.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",1324,687,-10157.549996614189,-10114.03759871486,5091.7749983070935,2.0,31.0,-10157.549996614189,-10114.03759871486,5091.7749983070935,2.0,31.0,164.3882001231345,207.9005980224616,-69.19410006156726,12.0,33.0,164.3882001231345,207.9005980224616,-69.19410006156726,12.0,33.0
RandomDraw_GJR,RandomDraw_GJR/constant/summary_draws.csv,Full BEGE-GJR archive,Constant,constant,BEGE_GJR1.py; BEGE_GJR2.py,Earlier full-GJR local run retained for audit.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",2000,309,-30314.178391009267,-30280.707315702093,15167.089195504634,3.0,49.0,-30314.178391009267,-30280.707315702093,15167.089195504634,3.0,49.0,176.69345418859518,210.16452949576987,-78.34672709429759,1.0,3.0,176.69345418859518,210.16452949576987,-78.34672709429759,1.0,3.0
RandomDraw_Full_Dec,RandomDraw_Full_Dec/ARX11/summary_draws.csv,Full BEGE-GJR near-start archive,"ARX(1,1)",ARX11,BEGE_GJR1.py; BEGE_GJR2.py,Later full-GJR local run retained for audit.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",2000,1960,-70.07400975843322,-26.561611859106137,48.03700487921661,6.0,27.0,-70.07400975843322,-26.561611859106137,48.03700487921661,6.0,27.0,178.34253070705893,221.854928606386,-76.17126535352946,22.0,18.0,178.34253070705893,221.854928606386,-76.17126535352946,22.0,18.0
RandomDraw_ID,RandomDraw_ID/constant/summary_draws.csv,Inflation/Deflation BEGE-GARCH,Constant,constant,ID_GJR1.py; ID_GJR2.py,Positive shocks load on p_t and negative shocks load on n_t.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",2000,1931,-6229.3171236685375,-6202.540263422798,3122.6585618342688,35.0,38.0,-6229.3171236685375,-6202.540263422798,3122.6585618342688,35.0,38.0,185.77587014392668,212.55273038966644,-84.88793507196334,8.0,41.0,185.77587014392668,212.55273038966644,-84.88793507196334,8.0,41.0
RandomDraw_Constant,RandomDraw_Constant/constant/summary_draws.csv,Constant BEGE,Constant,constant,BEGE_constant.py,Invariant shape parameters.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",50000,50000,271.5951730730264,284.9836031958962,-131.79758653651317,92.0,404.0,271.5951730730264,284.9836031958962,-131.79758653651317,92.0,404.0,271.5951730730264,284.9836031958962,-131.79758653651317,92.0,404.0,271.5951730730264,284.9836031958962,-131.79758653651317,92.0,404.0
RandomDraw_GJR_Oct,RandomDraw_GJR_Oct/constant/summary_draws.csv,Full BEGE-GJR,Constant,constant,BEGE_GJR1.py; BEGE_GJR2.py,Full p_t and n_t GJR recursions.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",10000,6723,333.94874417153693,367.4198194787116,-156.9743720857685,15.0,28.0,333.94874417153693,367.4198194787116,-156.9743720857685,15.0,28.0,346.73903107565,380.21010638282473,-163.369515537825,52.0,6.0,346.73903107565,380.21010638282473,-163.369515537825,52.0,6.0
RandomDraw_Symmetric_Oct,RandomDraw_Symmetric_Oct/ARX11/summary_draws.csv,Shared-GJR BEGE,"ARX(1,1)",ARX11,BEGE_symmetric1.py; BEGE_symmetric2.py,"Separate p0, n0, sigma_p, and sigma_n with shared GJR loadings.",1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",2000,2000,352.65993123454496,386.13100654171967,-166.32996561727248,19.0,39.0,352.65993123454496,386.13100654171967,-166.32996561727248,19.0,39.0,352.65993123454496,386.13100654171967,-166.32996561727248,19.0,39.0,352.65993123454496,386.13100654171967,-166.32996561727248,19.0,39.0
RandomDraw_PerfectSymmetric,RandomDraw_PerfectSymmetric/ARX11/summary_draws.csv,Perfect-symmetric BEGE archive,"ARX(1,1)",ARX11,BEGE_symmetric*.py,Earlier shared shape and shared scale run retained for audit.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",10000,10000,353.26429060619114,380.04115085193087,-168.63214530309557,86.0,38.0,353.26429060619114,380.04115085193087,-168.63214530309557,86.0,38.0,353.26429060619114,380.04115085193087,-168.63214530309557,86.0,38.0,353.26429060619114,380.04115085193087,-168.63214530309557,86.0,38.0
RandomDraw_GJR_Oct,RandomDraw_GJR_Oct/ARX11/summary_draws.csv,Full BEGE-GJR,"ARX(1,1)",ARX11,BEGE_GJR1.py; BEGE_GJR2.py,Full p_t and n_t GJR recursions.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",10000,8286,351.7386847683446,395.2510826676717,-162.8693423841723,57.0,54.0,351.7386847683446,395.2510826676717,-162.8693423841723,57.0,54.0,353.2658555819878,396.7782534813149,-163.6329277909939,63.0,41.0,353.2658555819878,396.7782534813149,-163.6329277909939,63.0,41.0
RandomDraw_PerfectSymmetric,RandomDraw_PerfectSymmetric/ARX21/summary_draws.csv,Perfect-symmetric BEGE archive,"ARX(2,1)",ARX21,BEGE_symmetric*.py,Earlier shared shape and shared scale run retained for audit.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",6250,6249,354.94732946687066,385.0712972433279,-168.47366473343533,135.0,15.0,354.94732946687066,385.0712972433279,-168.47366473343533,135.0,15.0,354.94732946687066,385.0712972433279,-168.47366473343533,135.0,15.0,354.94732946687066,385.0712972433279,-168.47366473343533,135.0,15.0
RandomDraw_Symmetric_Sep,RandomDraw_Symmetric_Sep/constant/summary_draws.csv,Symmetric BEGE archive,Constant,constant,BEGE_symmetric*.py,Earlier shared-shape run retained for audit.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",1000,69,354.13802312999564,377.56777584501793,-170.06901156499782,25.0,12.0,354.13802312999564,377.56777584501793,-170.06901156499782,25.0,12.0,355.067350702671,378.49710341769327,-170.5336753513355,16.0,11.0,355.067350702671,378.49710341769327,-170.5336753513355,16.0,11.0
RandomDraw_Symmetric_Sep,RandomDraw_Symmetric_Sep/ARX11/summary_draws.csv,Symmetric BEGE archive,"ARX(1,1)",ARX11,BEGE_symmetric*.py,Earlier shared-shape run retained for audit.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",1000,18,352.993822850783,386.4648981579577,-166.4969114253915,47.0,18.0,352.993822850783,386.4648981579577,-166.4969114253915,47.0,18.0,355.60739832567106,389.07847363284577,-167.80369916283553,15.0,10.0,355.60739832567106,389.07847363284577,-167.80369916283553,15.0,10.0
RandomDraw_PerfectSymmetric,RandomDraw_PerfectSymmetric/ARX22/summary_draws.csv,Perfect-symmetric BEGE archive,"ARX(2,2)",ARX22,BEGE_symmetric*.py,Earlier shared shape and shared scale run retained for audit.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",10000,9998,355.6804767671507,389.1515520743254,-167.84023838357535,157.0,12.0,355.6804767671507,389.1515520743254,-167.84023838357535,157.0,12.0,355.6804767671507,389.1515520743254,-167.84023838357535,157.0,12.0,355.6804767671507,389.1515520743254,-167.84023838357535,157.0,12.0
RandomDraw_Symmetric_Oct,RandomDraw_Symmetric_Oct/constant/summary_draws.csv,Shared-GJR BEGE,Constant,constant,BEGE_symmetric1.py; BEGE_symmetric2.py,"Separate p0, n0, sigma_p, and sigma_n with shared GJR loadings.",1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",2000,2000,356.1015281517263,379.5312808667486,-171.05076407586316,15.0,16.0,356.1015281517263,379.5312808667486,-171.05076407586316,15.0,16.0,356.1015281517263,379.5312808667486,-171.05076407586316,15.0,16.0,356.1015281517263,379.5312808667486,-171.05076407586316,15.0,16.0
RandomDraw_Symmetric_Sep,RandomDraw_Symmetric_Sep/ARX21/summary_draws.csv,Symmetric BEGE archive,"ARX(2,1)",ARX21,BEGE_symmetric*.py,Earlier shared-shape run retained for audit.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",1000,25,354.89701460270123,391.7151974405934,-166.44850730135062,25.0,14.0,354.89701460270123,391.7151974405934,-166.44850730135062,25.0,14.0,356.6476168943531,393.4657997322453,-167.32380844717656,7.0,17.0,356.6476168943531,393.4657997322453,-167.32380844717656,7.0,17.0
RandomDraw_PerfectSymmetric,RandomDraw_PerfectSymmetric/constant/summary_draws.csv,Perfect-symmetric BEGE archive,Constant,constant,BEGE_symmetric*.py,Earlier shared shape and shared scale run retained for audit.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",10000,10000,359.0536274313786,375.78916508496593,-174.5268137156893,180.0,10.0,359.0536274313786,375.78916508496593,-174.5268137156893,180.0,10.0,359.0536274313786,375.78916508496593,-174.5268137156893,180.0,10.0,359.0536274313786,375.78916508496593,-174.5268137156893,180.0,10.0
RandomDraw_Symmetric_Sep,RandomDraw_Symmetric_Sep/ARX22/summary_draws.csv,Symmetric BEGE archive,"ARX(2,2)",ARX22,BEGE_symmetric*.py,Earlier shared-shape run retained for audit.,1970Q3,2022Q4,210,"differs from canonical project sample (1969Q2-2022Q4, 215 observations)",1000,14,357.4990206301256,397.6643109987351,-166.74951031506276,33.0,5.0,357.4990206301256,397.6643109987351,-166.74951031506276,33.0,5.0,360.6647395191021,400.8300298877117,-168.33236975955106,1.0,7.0,360.6647395191021,400.8300298877117,-168.33236975955106,1.0,7.0
