distribution,mean_spec,vol_spec,p,q,nobs,loglikelihood,aic,bic,persistence_alpha_plus_beta,unconditional_variance_implied,initial_variance_backcast_used,backcast_iterations,backcast_converged,optimizer_success,convergence_flag
mix_normal,ARX_1_1,"GARCH(1,1)",1,1,213,-173.4813680794238,364.9627361588476,395.2143656502324,1.0,,0.7362393428498982,1,False,True,0
mix_normal,ARX_1_1,"GARCH(1,2)",1,2,213,-173.48136824773593,366.96273649547186,400.5756581525661,1.0000000000000446,,0.7362393428498982,1,False,True,0
mix_normal,ARX_1_1,"GARCH(2,1)",2,1,213,-172.31860488031174,364.6372097606235,398.25013141771774,0.8512038593705843,1.0959305198097464,1.0959244151602017,10,False,True,0
mix_normal,ARX_1_1,"GARCH(2,2)",2,2,213,-172.31854355699562,366.63708711399124,403.6113009367949,0.8511795458766082,1.0956573950100459,1.0956514820910617,10,False,True,0
mix_normal,ARX_2_1,"GARCH(1,1)",1,1,213,-189.7817957097011,399.5635914194022,433.17651307649646,0.9999999999984441,109622160482.99428,109622160482.99428,3,True,True,0
mix_normal,ARX_2_1,"GARCH(1,2)",1,2,213,-170.81346743133832,363.62693486267665,400.6011486854803,1.000000000000019,,0.7362393428498982,1,False,True,0
mix_normal,ARX_2_1,"GARCH(2,1)",2,1,213,-170.08176400805644,362.1635280161129,399.13774183891655,1.0,,0.7362393428498982,1,False,True,0
mix_normal,ARX_2_1,"GARCH(2,2)",2,2,213,-203.34046968086352,430.68093936172704,471.01644535024013,0.5046953075931448,0.7585435595179589,30313995903448.387,2,False,True,0
mix_normal,ARX_2_2,"GARCH(1,1)",1,1,213,-170.64704007345256,363.2940801469051,400.2682939697088,0.9999999999999749,3099587355041.61,0.7362393428498982,1,False,True,0
mix_normal,ARX_2_2,"GARCH(1,2)",1,2,213,-221.41949699923933,466.83899399847866,507.17449998699175,0.9999999999999939,12733519039103.52,12733519039103.52,2,True,False,4
mix_normal,ARX_2_2,"GARCH(2,1)",2,1,213,-189.97879024410355,403.9575804882071,444.2930864767202,1.0,,1072473430480144.5,2,False,False,4
mix_normal,ARX_2_2,"GARCH(2,2)",2,2,213,-169.84103946198135,365.6820789239627,409.37887707818527,1.0,,0.7362393428498982,1,False,True,0
mix_normal,Constant_anchor,"GARCH(1,1)",1,1,213,-188.58785411210152,389.17570822420305,409.3434612184596,0.9999999999999999,3354677870456727.5,3354677870456727.5,3,True,True,0
mix_normal,Constant_anchor,"GARCH(1,2)",1,2,213,-177.84849827290742,369.69699654581484,393.2260417057808,1.000000000000017,,0.44112817805000987,1,False,True,0
mix_normal,Constant_anchor,"GARCH(2,1)",2,1,213,-175.96314570294487,365.92629140588974,389.4553365658557,1.000000000000053,,0.44112817805000987,1,False,True,0
