model_id,distribution,distribution_label,mean_spec,mean_label,vol_family,vol_spec,vol_order,p,o,q,nobs,num_parameters,loglikelihood,aic,bic,persistence_proxy,stable_by_proxy,implied_initial_variance,implied_initial_variance_status,initialization_method,restart_attempts,valid_restart_attempts,optimizer_success,convergence_flag,covariance_type,selection_status,selected_checks_passed,resid_skewness,resid_excess_kurtosis,std_resid_skewness,std_resid_excess_kurtosis
M111,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",EGARCH,"EGARCH(1,1)","(1,1)",1,1,1,215,10,-169.44221090967994,358.8844218193599,392.5908021006365,0.7912034626217086,True,0.4277853629410668,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.9384610945943058,8.213833181551268,-0.30259807493945645,5.028708317549626
M114,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",EGARCH,"EGARCH(1,2)","(1,2)",1,1,2,215,11,-169.44221093332698,360.88442186665395,397.96144017605826,0.791196843440215,True,0.42780562304873215,proxy_from_log_variance,arch_default,50,49,True,0,robust,passed_checks,True,-0.9384534120273377,8.213824060190356,-0.3026156127463091,5.028731124769941
M117,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",EGARCH,"EGARCH(2,1)","(2,1)",2,2,1,215,12,-166.21971184027655,356.4394236805531,396.88708001808504,0.6994700368386533,True,0.3503726131693156,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.9398612314104755,8.212356059747762,-0.19450811580815255,3.63477345409024
M120,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",EGARCH,"EGARCH(2,2)","(2,2)",2,2,2,215,13,-166.2197118610727,358.4394237221454,402.257718087805,0.6994623653602473,True,0.3503721289521538,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.9398687042648474,8.212367907299734,-0.19447840109392409,3.63485117403817
M109,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GARCH,"GARCH(1,1)","(1,1)",1,0,1,215,9,-174.58518612268517,367.17037224537034,397.5061144985193,0.9999999999999999,False,955604956736947.4,exact,arch_default,50,0,True,0,robust,fallback_best_converged_no_checks_passed,False,-0.9910740774528704,8.266416913952296,-0.4235428680666895,6.713195023282552
M112,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GARCH,"GARCH(1,2)","(1,2)",1,0,2,215,10,-174.5851861256954,369.1703722513908,402.8767525326674,1.0000000000000187,False,,undefined_or_nonstationary,arch_default,50,0,True,0,robust,fallback_best_converged_no_checks_passed,False,-0.991080795153968,8.266425518371603,-0.42355595056731155,6.713192835664907
M115,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GARCH,"GARCH(2,1)","(2,1)",2,0,1,215,10,-173.5616702855586,367.1233405711172,400.8297208523938,0.8403997564336684,True,1.0547052859617385,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.9824336869422482,8.223088595942036,-0.00745470054399037,4.694568758088299
M118,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GARCH,"GARCH(2,2)","(2,2)",2,0,2,215,11,-173.5616702922949,369.1233405845898,406.2003588939941,0.8404149620816123,True,1.054848235450276,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.9824215562201186,8.223084073779727,-0.007482716621487399,4.694636088161549
M110,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",1,1,1,215,10,-170.22258308609983,360.44516617219966,394.15154645347627,0.913816809035165,True,0.8996103696114051,exact_under_symmetry,arch_default,50,49,True,0,robust,passed_checks,True,-0.9600730642811238,8.240455177951638,-0.1221897312947808,4.943519326063987
M113,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GJR-GARCH,"GJR-GARCH(1,2)","(1,2)",1,1,2,215,11,-170.22258309615455,362.4451661923091,399.5221845017134,0.9138174470343441,True,0.89955207496048,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.9600741247393874,8.240459781104093,-0.1221613745444933,4.943481664008241
M116,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GJR-GARCH,"GJR-GARCH(2,1)","(2,1)",2,2,1,215,12,-167.4469265450017,358.8938530900034,399.34150942753536,0.7971445901263126,True,0.5931736796939144,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.9393696092032395,8.157795451744251,0.18391779072823314,3.494017181969717
M119,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GJR-GARCH,"GJR-GARCH(2,2)","(2,2)",2,2,2,215,13,-167.44693945157712,360.89387890315425,404.71217326881384,0.7971619500902782,True,0.593255160932951,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.9393504643511801,8.157771441774006,0.18391423371515708,3.494090265908108
M123,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",EGARCH,"EGARCH(1,1)","(1,1)",1,1,1,215,11,-165.36690275795922,352.73380551591845,389.81082382532276,0.9586407091455033,True,0.21646082656637353,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-1.1175312613518034,8.402823618945938,-0.5823475069187988,3.040759855397482
