model_id,distribution,distribution_label,mean_spec,mean_label,vol_family,vol_spec,vol_order,attempts,best_attempt_loglikelihood,last_error_message
M025,normal,Normal,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(1,1)","(1,1)",50,-188.8527313172719,
M028,normal,Normal,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(1,2)","(1,2)",50,-188.85273131697824,
M037,normal,Normal,ARX_2_2,"ARX(2,2)",GARCH,"GARCH(1,1)","(1,1)",50,-188.83554534893307,
M040,normal,Normal,ARX_2_2,"ARX(2,2)",GARCH,"GARCH(1,2)","(1,2)",50,-188.83554534964304,
M049,studentst,Student's $t$,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",50,-181.99417480926118,
M052,studentst,Student's $t$,Constant_anchor,Constant,GARCH,"GARCH(1,2)","(1,2)",50,-181.99417480970834,
M097,mix_normal,Gaussian mixture,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",50,-179.4872752508755,
M098,mix_normal,Gaussian mixture,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",50,-175.21228518479614,
M100,mix_normal,Gaussian mixture,Constant_anchor,Constant,GARCH,"GARCH(1,2)","(1,2)",50,-179.4872752524321,
M101,mix_normal,Gaussian mixture,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,2)","(1,2)",50,-175.21228518879096,
M103,mix_normal,Gaussian mixture,Constant_anchor,Constant,GARCH,"GARCH(2,1)","(2,1)",50,-177.71614652499625,
M104,mix_normal,Gaussian mixture,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(2,1)","(2,1)",50,-171.82100201246294,
M106,mix_normal,Gaussian mixture,Constant_anchor,Constant,GARCH,"GARCH(2,2)","(2,2)",50,-177.71614684300985,
M107,mix_normal,Gaussian mixture,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(2,2)","(2,2)",50,-171.82100200939726,
M109,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GARCH,"GARCH(1,1)","(1,1)",50,-174.58518612627887,
M112,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GARCH,"GARCH(1,2)","(1,2)",50,-174.58518612456504,
M121,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(1,1)","(1,1)",50,-171.38391595482258,
M124,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(1,2)","(1,2)",50,-171.38391595209708,
M127,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(2,1)","(2,1)",50,-170.78091642676083,
M130,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(2,2)","(2,2)",50,-170.6185710414179,
M133,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GARCH,"GARCH(1,1)","(1,1)",50,-171.1994324579964,
M139,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GARCH,"GARCH(2,1)","(2,1)",50,-170.70112366121344,
