model_id,distribution,distribution_label,mean_spec,mean_label,vol_family,vol_spec,vol_order,phase,attempt,start_type,loglikelihood,optimizer_success,convergence_flag,stable_by_proxy,persistence_proxy,implied_initial_variance,implied_initial_variance_status,error_message
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,1,default,-198.20145392312008,True,0,True,0.9524012053179802,1.4582174907271246,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,2,random_2,-198.20145783222236,True,0,True,0.9524843806524905,1.461621739253676,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,3,random_3,-198.2014543872092,True,0,True,0.9524847062602801,1.4603782267124366,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,4,random_4,-198.20145392759662,True,0,True,0.9524106807651862,1.4584733730158426,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,5,random_5,-198.20145392328058,True,0,True,0.9523996072686447,1.458175715642018,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,6,random_6,-198.2014539297051,True,0,True,0.9524049165505104,1.4583107561686959,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,7,random_7,-198.20145392552644,True,0,True,0.952406622220757,1.4584002780984842,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,8,random_8,-198.2014540572394,True,0,True,0.9523837336245586,1.4577981611000501,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,9,random_9,-198.2014539514012,True,0,True,0.9524250398500764,1.4588593626226312,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,10,random_10,-198.20145432992587,True,0,True,0.9524407002833848,1.459258498743724,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,11,random_11,-198.20145393441936,True,0,True,0.9524025612067728,1.458223048444389,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,12,random_12,-198.2014541926949,True,0,True,0.9524128621945349,1.4582333633818267,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,13,random_13,-198.2014541814533,True,0,True,0.9524280021728706,1.4591448421744388,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,14,random_14,-198.20145392308285,True,0,True,0.9524025424057543,1.4582662404760516,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,15,random_15,-198.20145401775193,True,0,True,0.9524013885664787,1.4584188873604544,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,16,random_16,-198.20145393273737,True,0,True,0.952389874862845,1.4579337744494176,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,17,random_17,-198.20145394894826,True,0,True,0.952413652949953,1.4585670404659021,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,18,random_18,-198.2014539283161,True,0,True,0.9524015762641393,1.4581884565277685,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,19,random_19,-198.20145421662835,True,0,True,0.952345270630345,1.4565727414141187,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,20,random_20,-198.20145400669492,True,0,True,0.952428156040113,1.4590675457685027,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,21,random_21,-198.2014539339661,True,0,True,0.9524095095891953,1.458499460976397,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,22,random_22,-198.20145393861577,True,0,True,0.9523921374481558,1.4579034000966609,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,23,random_23,-198.20145406942137,True,0,True,0.9523949410323583,1.4580493537852257,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,24,random_24,-198.20145414764693,True,0,True,0.9524376733762873,1.4590423713264002,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,25,random_25,-198.20145416933897,True,0,True,0.952399272111704,1.4578578835828313,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,26,random_26,-198.20145393410277,True,0,True,0.9524000033973136,1.4582564263216227,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,27,random_27,-198.20145413378708,True,0,True,0.9524023759811406,1.4579748919231177,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,28,random_28,-198.20145403682136,True,0,True,0.9523750478830508,1.4573940006434027,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,29,random_29,-198.20145396932548,True,0,True,0.9524059781085105,1.458347818700855,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,30,random_30,-198.20145438656283,True,0,True,0.9524771318916267,1.4601049744963481,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,31,random_31,-198.20145419441707,True,0,True,0.9524666982455676,1.459985677241335,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,32,random_32,-198.20145415839966,True,0,True,0.9523667789553547,1.4569908627239307,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,33,random_33,-198.2014542791913,True,0,True,0.9523899977928949,1.45826830107742,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,34,random_34,-198.20145400077672,True,0,True,0.9524159990658192,1.4585715047573449,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,35,random_35,-198.2014539246291,True,0,True,0.9523966058905778,1.4580850480877838,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,36,random_36,-198.201453947437,True,0,True,0.9524029172140551,1.4581712203763366,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,37,random_37,-198.2014539870924,True,0,True,0.9523679892865788,1.457331527601929,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,38,random_38,-198.2014539600982,True,0,True,0.9523852560678928,1.4577349419107544,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,39,random_39,-198.2014539626789,True,0,True,0.9523761589397142,1.457580095173181,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,40,random_40,-198.2014541904138,True,0,True,0.9523607094224802,1.4569275691119559,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,41,random_41,-198.20145393153447,True,0,True,0.9524141732434397,1.458576584012122,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,42,random_42,-198.20145434174196,True,0,True,0.9524417209158199,1.4595161970536674,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,43,random_43,-198.20145407398223,True,0,True,0.9524420749563332,1.4592391722655387,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,44,random_44,-198.2014539359087,True,0,True,0.9523931998156239,1.457973431485702,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,45,random_45,-198.20145400742908,True,0,True,0.9524048416869815,1.458487469864607,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,46,random_46,-198.2014539410802,True,0,True,0.9523879167708436,1.4579039443572586,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,47,random_47,-198.20145393879832,True,0,True,0.9524141950851187,1.4586467397888052,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,48,random_48,-198.20145394022543,True,0,True,0.9523987240075,1.45806990503252,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,49,random_49,-198.20145425238084,True,0,True,0.952400200490283,1.4578219022929821,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,50,random_50,-198.2014539308548,True,0,True,0.9523982059183909,1.458088568269791,exact,
