model_id,parameter,coef,std_err,t_value,p_value
M001,alpha[1],0.3707540942956842,0.0718916759523726,5.157121313200494,2.507753388941651e-07
M001,beta[1],0.5396926153965672,0.06570526767398341,8.213840906552814,2.1422337125639443e-16
M001,omega,0.008727038471970459,0.002518507165737892,3.4651632485681425,0.0005299097075468857
M002,alpha[1],0.3849599330182647,0.07458706872463321,5.161215470733835,2.4535158154044363e-07
M002,beta[1],0.5450341323076141,0.06799058698515602,8.01631750034175,1.0896262667421293e-15
M002,gamma[1],-0.05250824565582876,0.09225592024906829,-0.5691585484602985,0.5692485482630258
M002,omega,0.008608227894011113,0.0025169811008709697,3.4200605999911335,0.0006260718724442012
M003,alpha[1],0.5632967029566712,0.12719431637256673,4.428631082120923,9.483307538258444e-06
M003,beta[1],0.8330153710026604,0.07005942305450526,11.890126048491522,1.3320540239820618e-32
M003,gamma[1],-0.002576438597624901,0.04850188884291701,-0.05312037652738038,0.9576359962513017
M003,omega,-0.45409280445264893,0.19355557638573215,-2.3460590127752172,0.018973103198011966
M004,alpha[1],0.42715301283125656,0.07824505339922182,5.459169548416524,4.783667807468079e-08
M004,beta[1],0.27480231689059664,0.13649353610155487,2.0132991256533663,0.04408317030081047
M004,beta[2],0.19057971567958043,0.10403510283187517,1.8318789571205092,0.0669694562969972
M004,omega,0.010110269227175424,0.002799024357497456,3.6120690411621807,0.00030376366170792036
M005,alpha[1],0.45326411949612716,0.080762880117061,5.612282757117475,1.9967480860866888e-08
M005,beta[1],0.26490964769220815,0.13466115283896196,1.967231396043425,0.04915654003122744
M005,beta[2],0.20449737984957342,0.1059957393719154,1.9292981119933295,0.05369386400610848
M005,gamma[1],-0.0821784888031083,0.10343667119802484,-0.7944811820730511,0.42691535974048833
M005,omega,0.009998103929605193,0.0027746724226332302,3.603345695171019,0.00031414727247483233
M006,alpha[1],0.6270340226511952,0.10065520238686039,6.2295242350339635,4.678537819164025e-10
M006,beta[1],0.5438823208134299,0.16208888608128194,3.3554572059967875,0.0007923391425903038
M006,beta[2],0.2783191564879197,0.1534261777085868,1.8140265282274775,0.06967364168759169
M006,gamma[1],0.0023365259122945033,0.04758244851377285,0.04910478517342777,0.9608357899929532
M006,omega,-0.48599436498436893,0.15805747499049158,-3.0747951972129464,0.0021064714751815607
M007,alpha[1],0.37075490562070534,0.07498125765419188,4.944634395579227,7.628689777195074e-07
M007,alpha[2],2.7216117324341197e-12,0.09890062576098692,2.7518650276404087e-11,0.9999999999780433
M007,beta[1],0.539692811005078,0.09552522263612115,5.649741462115189,1.6068932675264706e-08
M007,omega,0.008727020080924635,0.002785472049755218,3.1330488782651935,0.0017300063021047426
M008,alpha[1],0.33966813678284685,0.10782951568833368,3.150047875246057,0.0016324370942122257
M008,alpha[2],0.06092897913991052,0.2227923367158124,0.2734787921257355,0.7844851926305146
M008,beta[1],0.5271310237320824,0.31196534393142233,1.689710200143125,0.09108341087305995
M008,gamma[1],0.0015241575830418526,0.13422447841845922,0.01135528780592559,0.9909399858801681
M008,gamma[2],-0.060929249687141335,0.3153041806441787,-0.19323958712713707,0.8467713369223877
M008,omega,0.008974984167503914,0.005985848781701603,1.4993670062197237,0.13377844805927122
M009,alpha[1],0.5975584208564357,0.0857723287889182,6.966797209470665,3.242375083788347e-12
M009,alpha[2],-0.294903427534159,0.09515669837173066,-3.099134717580423,0.0019408674570358807
M009,beta[1],0.9024538749767784,0.03162435565879108,28.53667232666321,4.1111068820913074e-179
M009,gamma[1],-0.14175630266736466,0.07033346425224841,-2.0154887033427054,0.04385346853317082
M009,gamma[2],0.2086048184156758,0.07298238371008463,2.858290012071105,0.004259309144642219
M009,omega,-0.28532234420188196,0.08905517142241763,-3.2038829373367363,0.0013558759420232859
M010,alpha[1],0.4271530445625593,0.12340892117583742,3.4612817330599337,0.0005376098704867408
M010,alpha[2],1.7802340209987373e-17,1.3397317666867468,1.3287988426230904e-17,1.0
M010,beta[1],0.2747990177098353,3.115950075157531,0.08819108492806722,0.9297248029056117
M010,beta[2],0.19058214498300063,1.615081941798141,0.11800153295678437,0.9060664432466806
M010,omega,0.010110305901010412,0.027819508986790146,0.3634250304637369,0.716287406551987
