model_id,distribution,distribution_label,mean_spec,mean_label,vol_family,vol_spec,vol_order,p,o,q,nobs,num_parameters,loglikelihood,aic,bic,persistence_proxy,stable_by_proxy,implied_initial_variance,implied_initial_variance_status,initialization_method,restart_attempts,valid_restart_attempts,optimizer_success,convergence_flag,covariance_type,selection_status,selected_checks_passed,resid_skewness,resid_excess_kurtosis,std_resid_skewness,std_resid_excess_kurtosis
M111,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",EGARCH,"EGARCH(1,1)","(1,1)",1,1,1,688,10,100.9490162976502,-181.8980325953004,-136.56014421596697,0.901128237948124,True,0.05909559461929015,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.09394398181926195,6.054491400707612,0.1765880601176361,2.6223156689522575
M114,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",EGARCH,"EGARCH(1,2)","(1,2)",1,1,2,688,11,100.9581959145889,-179.9163918291778,-130.04471461191102,0.8993074078990678,True,0.05908953310427504,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.09394964271153593,6.053856167197203,0.18135588831925106,2.612998986608269
M117,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",EGARCH,"EGARCH(2,1)","(2,1)",2,2,1,688,12,102.40714345444574,-180.8142869088915,-126.40882085369137,0.9026458391801496,True,0.05557037439662171,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.09752943328975358,6.084674197640254,0.22871888731722612,2.0960441303887
M120,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",EGARCH,"EGARCH(2,2)","(2,2)",2,2,2,688,13,103.26334113988794,-180.52668227977588,-121.58742738664242,0.8215494714331513,True,0.05495121834567333,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.08992063150990377,6.038668338109904,0.21555433438840105,2.174824054890874
M109,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GARCH,"GARCH(1,1)","(1,1)",1,0,1,688,9,101.65016373833556,-185.30032747667113,-144.49622793527104,0.9067699325156015,True,0.0656108921853336,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.08526786049297405,6.001422150808214,0.17229127483091938,2.0683254754852376
M112,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GARCH,"GARCH(1,2)","(1,2)",1,0,2,688,10,101.65026390179007,-183.30052780358014,-137.9626394242467,0.9065457824724777,True,0.06558582641206133,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.08527039526462442,6.001378355628134,0.1723289096768258,2.0677710544099615
M115,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GARCH,"GARCH(2,1)","(2,1)",2,0,1,688,10,101.65016374055496,-183.30032748110992,-137.96243910177648,0.9067686127615625,True,0.06561038010767355,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.08526659104954198,6.001415430942902,0.17229116473316222,2.068329205128764
M118,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GARCH,"GARCH(2,2)","(2,2)",2,0,2,688,11,101.65990270055718,-181.31980540111437,-131.4481281838476,0.84720783999289,True,0.06542434623591008,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.0851296655902429,5.999571661584291,0.16890418193277326,2.0749764787749463
M110,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",1,1,1,688,10,103.80561966578607,-187.61123933157214,-142.2733509522387,0.9228158959856526,True,0.0657974092549093,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.08863061969242463,6.054082412093768,0.18497393507328988,2.453785383037239
M113,mix_normal,Gaussian mixture,ARX_1_1,"ARX(1,1)",GJR-GARCH,"GJR-GARCH(1,2)","(1,2)",1,1,2,688,11,103.80561966180201,-185.61123932360402,-135.73956210633725,0.9228176961113209,True,0.06579809248408501,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.08863189439273102,6.054089493548933,0.1849739395177989,2.4537793144954883
