model_id,distribution,distribution_label,mean_spec,mean_label,vol_family,vol_spec,vol_order,phase,attempt,start_type,loglikelihood,optimizer_success,convergence_flag,stable_by_proxy,persistence_proxy,implied_initial_variance,implied_initial_variance_status,error_message
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,1,default,21.16141580053902,True,0,True,0.9104484855672568,0.09745126252178,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,2,random_2,21.161415710501384,True,0,True,0.910451527882993,0.09744845020749238,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,3,random_3,21.16141578575252,True,0,True,0.9104546616081277,0.09745742304704037,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,4,random_4,21.161415740111103,True,0,True,0.9104441410475316,0.0974466638272482,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,5,random_5,21.161415756116696,True,0,True,0.9104588725965894,0.0974618933849993,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,6,random_6,21.161415742475,True,0,True,0.9104456743689255,0.09745122127804277,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,7,random_7,21.16141580044909,True,0,True,0.9104466612200173,0.09745213902311357,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,8,random_8,21.16141577966302,True,0,True,0.910440361335384,0.09744340701428804,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,9,random_9,21.161415774707585,True,0,True,0.9104489513573638,0.09745340800232424,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,10,random_10,21.16141538707413,True,0,True,0.9104544447104812,0.09747134185822738,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,11,random_11,21.161415366009745,True,0,True,0.9104671276983272,0.0974645611673754,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,12,random_12,21.16141561133331,True,0,True,0.9104266890127402,0.09743799122133079,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,13,random_13,21.161415799562832,True,0,True,0.9104489515436578,0.09745240840549488,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,14,random_14,21.161415788574075,True,0,True,0.9104489872530672,0.09745231790488378,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,15,random_15,21.161415719167827,True,0,True,0.9104440169376221,0.09745489039564043,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,16,random_16,21.161415795198067,True,0,True,0.9104464401639804,0.0974526321268488,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,17,random_17,21.161415503949403,True,0,True,0.910472030069501,0.09747709163191944,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,18,random_18,21.161415801243784,True,0,True,0.9104469639309669,0.09744991576439703,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,19,random_19,21.161415400853958,True,0,True,0.9104326788652897,0.09745031030842377,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,20,random_20,21.1614154771787,True,0,True,0.9104215659818375,0.09743660252652533,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,21,random_21,21.161415804046065,True,0,True,0.9104467096922514,0.0974507853589758,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,22,random_22,21.161415773867127,True,0,True,0.9104469270518766,0.0974539102200464,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,23,random_23,21.161415694685765,True,0,True,0.910438355826322,0.09744348285989146,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,24,random_24,21.161415801518164,True,0,True,0.9104484284274491,0.09745176369730514,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,25,random_25,21.161415744514517,True,0,True,0.9104455576142505,0.09744434854282036,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,26,random_26,21.161415792331056,True,0,True,0.9104433154119392,0.09744611031548447,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,27,random_27,21.161415742306154,True,0,True,0.9104527407982602,0.0974509484659355,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,28,random_28,21.161415782951355,True,0,True,0.9104552031203115,0.0974573646670696,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,29,random_29,21.16141580386681,True,0,True,0.9104463727767629,0.09745074334920537,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,30,random_30,21.16141579417627,True,0,True,0.9104427391316086,0.09744840654119168,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,31,random_31,21.161415725284613,True,0,True,0.910445796653629,0.09744462830280842,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,32,random_32,21.16141580205687,True,0,True,0.9104452831108436,0.09744903518555419,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,33,random_33,21.16141564893385,True,0,True,0.9104324522876266,0.09744356367299226,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,34,random_34,21.161415794753424,True,0,True,0.9104420524226802,0.09744636978644987,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,35,random_35,21.161415803473552,True,0,True,0.91044689670698,0.09745057754978646,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,36,random_36,21.161415645882528,True,0,True,0.9104670349694713,0.09747111107116364,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,37,random_37,21.161415656081594,True,0,True,0.9104411989384811,0.09744190710338904,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,38,random_38,21.161415795187942,True,0,True,0.9104434717485927,0.09744675806163608,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,39,random_39,21.16141578547513,True,0,True,0.910454592482397,0.09745721931471125,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,40,random_40,21.161415775042595,True,0,True,0.9104449803471819,0.09744588131015045,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,41,random_41,21.16141579874924,True,0,True,0.9104472775259668,0.09744963697967045,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,42,random_42,21.161415525900914,True,0,True,0.9104551469932811,0.0974688563306062,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,43,random_43,21.16141576681039,True,0,True,0.9104459615558746,0.09744590982462922,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,44,random_44,21.16141579178165,True,0,True,0.9104440216790342,0.09744974000558904,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,45,random_45,21.161415577919403,True,0,True,0.9104656627496879,0.09746634971902406,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,46,random_46,21.161415358157583,True,0,True,0.9104739235903827,0.09746935576471248,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,47,random_47,21.16141558746403,True,0,True,0.9104466411090375,0.09744460360410984,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,48,random_48,21.161415598374504,True,0,True,0.9104584020703337,0.09745167338462724,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,49,random_49,21.161415702358475,True,0,True,0.9104487048010723,0.09744802139082673,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,50,random_50,21.161415497584773,True,0,True,0.9104701132025953,0.09747200447820804,exact,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,1,default,21.367664043633184,True,0,True,0.9037410635827621,0.08942777851644834,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,2,random_2,21.367663946390486,True,0,True,0.9037427966001723,0.08943352049575026,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,3,random_3,21.3676640432046,True,0,True,0.9037414026413696,0.08942813665345205,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,4,random_4,21.367664044750498,True,0,True,0.9037410853261237,0.08942812237983726,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,5,random_5,21.367663908168367,True,0,True,0.9037314385557385,0.08941674712672122,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,6,random_6,21.367664046890155,True,0,True,0.9037394723761631,0.08942642484013219,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,7,random_7,21.36766402238957,True,0,True,0.9037344278802903,0.0894231201938616,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,8,random_8,21.367664035744987,True,0,True,0.9037367427080364,0.08942520442908891,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,9,random_9,21.367663944905146,True,0,True,0.903743185175822,0.08943424826798796,exact_under_symmetry,
