model_label,attempt,method,llf,converged,stationary,distribution_valid,transition_valid,checks_passed,iterations,warnflag,stationarity_reason,distribution_reason,transition_reason,error
"ARX(1,1)_normal_r2_arN_spfN_nuN",1,lbfgs,-177.1889357250539,Y,Y,Y,Y,Y,25.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",2,bfgs,-177.18893579236646,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",3,lbfgs,-177.18893572780564,Y,Y,Y,Y,Y,25.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",4,bfgs,-177.18893580402084,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",5,lbfgs,-177.18893572725236,Y,Y,Y,Y,Y,24.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",6,bfgs,-177.1889357957972,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",7,lbfgs,-177.1889363689563,Y,Y,Y,Y,Y,26.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",8,bfgs,-177.18893582011566,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",9,lbfgs,-177.18893582488732,Y,Y,Y,Y,Y,26.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",10,bfgs,-177.18893581615055,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",11,lbfgs,-177.18893572217974,Y,Y,Y,Y,Y,25.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",12,bfgs,-177.1889357927956,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",13,lbfgs,-177.18893586452612,Y,Y,Y,Y,Y,28.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",14,bfgs,-177.18893579097255,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",15,lbfgs,-177.18893572333167,Y,Y,Y,Y,Y,24.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",16,bfgs,-177.18893579565457,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",17,lbfgs,-177.1889357283441,Y,Y,Y,Y,Y,26.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",18,bfgs,-177.18893582348977,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",19,lbfgs,-177.18893573715758,Y,Y,Y,Y,Y,25.0,0.0,stationary,ok,ok,
