model_label,mean_process,error_distribution,k_regimes,parameter,parameter_raw,parameter_type,estimate
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Normal,2,sigma2[0],sigma2[0],distribution,0.12964753584910915
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Normal,2,sigma2[1],sigma2[1],distribution,1.0758300839548531
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Normal,2,Inflation_lag_1,x1,mean_process,0.2678610631967589
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Normal,2,SPF,x2,mean_process,0.6998767086290368
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Normal,2,const,const,mean_process,0.09679891562292829
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Normal,2,p[0->0],p[0->0],transition_probability,0.9366916294256687
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Normal,2,p[1->0],p[1->0],transition_probability,0.15149201985436453
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,sigma2[0],sigma2[0],distribution,0.12949152414168424
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,sigma2[1],sigma2[1],distribution,1.0099687498298355
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,Inflation_lag_1[0],x1[0],mean_process,0.12106216367356598
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,Inflation_lag_1[1],x1[1],mean_process,0.3423718028564892
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,SPF,x2[1],mean_process,0.7124564236884302
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,const[0],const[0],mean_process,0.18098609253190343
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,const[1],const[1],mean_process,0.17385613220468116
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,p[0->0],p[0->0],transition_probability,0.9364560512014888
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,p[1->0],p[1->0],transition_probability,0.1517372756568171
"ARX(1,1)_normal_r2_arY_spfY_nuN","ARX(1,1)",Normal,2,sigma2[0],sigma2[0],distribution,0.12958462878712612
"ARX(1,1)_normal_r2_arY_spfY_nuN","ARX(1,1)",Normal,2,sigma2[1],sigma2[1],distribution,1.0053500540884097
