model_label,mean_process,has_intercept,intercept_switches_by_regime,endog,exog_cols,error_distribution,k_regimes,switching_ar,switching_spf,switching_distribution,switching_nu,sample_start,sample_end,nobs,llf,aic,bic,hqic,converged,stationary,stationarity_reason,distribution_valid,distribution_reason,transition_valid,transition_reason,checks_passed,selection_status,iterations,warnflag,fit_strategy,fit_attempts,fit_converged_candidates,fit_valid_candidates
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Y,Y,Inflation,"Inflation_lag_1,SPF",Normal,2,Y,N,Y,N,1969Q2,2022Q4,215,-175.11751465010707,368.23502930021414,398.5707715533631,380.4920701683171,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#20,50,50,50
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Y,N,Inflation,"Inflation_lag_1,SPF",Normal,2,N,N,Y,N,1969Q2,2022Q4,215,-177.188935721742,368.377871443484,391.97233764037765,377.9111254520086,True,True,stationary,True,ok,True,ok,True,passed_checks,24.0,0,lbfgs#31,50,50,50
"ARX(1,1)_normal_r2_arY_spfY_nuN","ARX(1,1)",Y,Y,Inflation,"Inflation_lag_1,SPF",Normal,2,Y,Y,Y,N,1969Q2,2022Q4,215,-175.09239871874058,370.18479743748117,403.8911777187578,383.8037317353734,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#50,50,35,34
"ARX(1,1)_normal_r3_arY_spfN_nuN","ARX(1,1)",Y,Y,Inflation,"Inflation_lag_1,SPF",Normal,3,Y,N,Y,N,1969Q2,2022Q4,215,-162.3751440908419,356.7502881816838,410.6804966317264,378.54058305831137,True,True,stationary,True,ok,True,ok,True,passed_checks,349.0,0,lbfgs#13,50,50,5
"ARX(1,1)_normal_r3_arN_spfN_nuN","ARX(1,1)",Y,N,Inflation,"Inflation_lag_1,SPF",Normal,3,N,N,Y,N,1969Q2,2022Q4,215,-174.30929314695373,372.61858629390747,413.0662426314394,388.96130745137816,True,True,stationary,True,ok,True,ok,True,passed_checks,231.0,0,lbfgs#27,50,50,2
"ARX(1,1)_student_t_r2_arY_spfN_nuN","ARX(1,1)",Y,Y,Inflation,"Inflation_lag_1,SPF",Student t,2,Y,N,Y,N,1969Q2,2022Q4,215,-166.60977642790908,353.21955285581816,386.9259331370948,366.8384871537104,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#16,50,50,50
"ARX(1,1)_student_t_r2_arY_spfY_nuN","ARX(1,1)",Y,Y,Inflation,"Inflation_lag_1,SPF",Student t,2,Y,Y,Y,N,1969Q2,2022Q4,215,-166.46690274173153,354.93380548346306,392.01082379286737,369.9146332111445,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#50,50,45,45
"ARX(1,1)_student_t_r2_arN_spfN_nuN","ARX(1,1)",Y,N,Inflation,"Inflation_lag_1,SPF",Student t,2,N,N,Y,N,1969Q2,2022Q4,215,-175.53445463152872,367.06890926305744,394.03401348807876,377.9640567013712,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#14,50,50,50
"ARX(1,1)_student_t_r3_arY_spfN_nuN","ARX(1,1)",Y,Y,Inflation,"Inflation_lag_1,SPF",Student t,3,Y,N,Y,N,1969Q2,2022Q4,215,-159.08819611575217,352.17639223150434,409.47723870967457,375.3285805379211,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#6,50,48,2
"ARX(1,1)_student_t_r3_arN_spfN_nuN","ARX(1,1)",Y,N,Inflation,"Inflation_lag_1,SPF",Student t,3,N,N,Y,N,1969Q2,2022Q4,215,-173.4950317622185,372.990063524437,416.8083578900966,390.6946781116969,True,True,stationary,True,ok,False,transition_boundary,False,fallback_highest_llf_no_valid_attempt,,0,bfgs#42|fallback_highest_llf_no_valid_attempt,50,50,0
"ARX(2,1)_normal_r2_arN_spfN_nuN","ARX(2,1)",Y,N,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF",Normal,2,N,N,Y,N,1969Q2,2022Q4,215,-176.21556705303328,368.43113410606657,395.3962383310879,379.3262815443803,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#42,50,50,50
"ARX(2,1)_normal_r2_arY_spfN_nuN","ARX(2,1)",Y,Y,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF",Normal,2,Y,N,Y,N,1969Q2,2022Q4,215,-174.94223220376776,371.8844644075355,408.9614827169398,386.865292135217,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#38,50,50,50
"ARX(2,1)_normal_r2_arY_spfY_nuN","ARX(2,1)",Y,Y,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF",Normal,2,Y,Y,Y,N,1969Q2,2022Q4,215,-174.3767541622447,372.7535083244894,413.20116466202137,389.0962294819601,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#38,50,39,34
"ARX(2,1)_normal_r3_arY_spfN_nuN","ARX(2,1)",Y,Y,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF",Normal,3,Y,N,Y,N,1969Q2,2022Q4,215,-157.68646237033724,353.3729247406745,417.41504727510005,379.2488999066697,True,True,stationary,True,ok,True,ok,True,passed_checks,196.0,0,lbfgs#37,50,49,1
"ARX(2,1)_normal_r3_arN_spfN_nuN","ARX(2,1)",Y,N,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF",Normal,3,N,N,Y,N,1969Q2,2022Q4,215,-171.15053402236856,368.3010680447371,412.1193624103967,386.005682631997,True,True,stationary,True,ok,False,transition_boundary,False,fallback_highest_llf_no_valid_attempt,,0,bfgs#32|fallback_highest_llf_no_valid_attempt,50,50,0
"ARX(2,1)_student_t_r2_arY_spfY_nuN","ARX(2,1)",Y,Y,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF",Student t,2,Y,Y,Y,N,1969Q2,2022Q4,215,-161.48381326292315,348.9676265258463,392.7859208915059,366.67224111310617,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#26,50,46,42
"ARX(2,1)_student_t_r2_arY_spfN_nuN","ARX(2,1)",Y,Y,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF",Student t,2,Y,N,Y,N,1969Q2,2022Q4,215,-162.68662830459365,349.3732566091873,389.82091294671926,365.71597776665794,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#14,50,48,48
"ARX(2,1)_student_t_r2_arN_spfN_nuN","ARX(2,1)",Y,N,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF",Student t,2,N,N,Y,N,1969Q2,2022Q4,215,-173.44114363493253,364.88228726986506,395.218029523014,377.13932813796805,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#48,50,49,49
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Y,Y,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF",Student t,3,Y,N,Y,N,1969Q2,2022Q4,215,-147.8111548965513,335.6223097931026,403.0350703556559,362.86017838888705,True,True,stationary,True,ok,True,ok,True,passed_checks,256.0,0,lbfgs#25,50,45,2
"ARX(2,1)_student_t_r3_arN_spfN_nuN","ARX(2,1)",Y,N,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF",Student t,3,N,N,Y,N,1969Q2,2022Q4,215,-155.35174880661845,338.7034976132369,385.89243000702413,357.770005630286,True,True,stationary,False,sigma2[1]_boundary,False,transition_boundary,False,fallback_highest_llf_no_valid_attempt,,0,bfgs#26|fallback_highest_llf_no_valid_attempt,50,50,0
"ARX(2,2)_normal_r2_arN_spfN_nuN","ARX(2,2)",Y,N,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF,SPF_lag_1",Normal,2,N,N,Y,N,1969Q2,2022Q4,215,-175.96103801936363,369.92207603872725,400.2578182918762,382.17911690683025,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#24,50,50,50
"ARX(2,2)_normal_r2_arY_spfN_nuN","ARX(2,2)",Y,Y,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF,SPF_lag_1",Normal,2,Y,N,Y,N,1969Q2,2022Q4,215,-174.5336823221395,373.067364644279,413.51502098181095,389.4100858017497,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#30,50,50,50
"ARX(2,2)_normal_r2_arY_spfY_nuN","ARX(2,2)",Y,Y,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF,SPF_lag_1",Normal,2,Y,Y,Y,N,1969Q2,2022Q4,215,-174.15524526662531,376.31049053325063,423.4994229270379,395.37699855029973,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#32,50,42,36
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Y,Y,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF,SPF_lag_1",Normal,3,Y,N,Y,N,1969Q2,2022Q4,215,-81.01833087520669,202.03666175041337,269.4494223129666,229.27453034619782,False,True,stationary,False,sigma2[0]_boundary,False,transition_boundary,False,fallback_highest_llf_no_valid_attempt,,2,bfgs#10|fallback_highest_llf_no_valid_attempt,50,49,0
"ARX(2,2)_normal_r3_arN_spfN_nuN","ARX(2,2)",Y,N,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF,SPF_lag_1",Normal,3,N,N,Y,N,1969Q2,2022Q4,215,-171.02864644277224,370.0572928855445,417.2462252793317,389.1238009025936,True,True,stationary,True,ok,False,transition_boundary,False,fallback_highest_llf_no_valid_attempt,272.0,0,lbfgs#49|fallback_highest_llf_no_valid_attempt,50,50,0
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Y,Y,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF,SPF_lag_1",Student t,2,Y,Y,Y,N,1969Q2,2022Q4,215,-159.47369521620485,348.9473904324097,399.50696085432463,369.375791879248,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#42,50,44,38
"ARX(2,2)_student_t_r2_arY_spfN_nuN","ARX(2,2)",Y,Y,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF,SPF_lag_1",Student t,2,Y,N,Y,N,1969Q2,2022Q4,215,-162.6809741581215,351.361948316243,395.1802426819026,369.06656290350287,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#50,50,50,50
"ARX(2,2)_student_t_r2_arN_spfN_nuN","ARX(2,2)",Y,N,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF,SPF_lag_1",Student t,2,N,N,Y,N,1969Q2,2022Q4,215,-173.25632547018068,366.51265094036137,400.219031221638,380.1315852382536,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#38,50,49,49
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Y,Y,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF,SPF_lag_1",Student t,3,Y,N,Y,N,1969Q2,2022Q4,215,-12.786555346014765,67.57311069202953,138.35650928271045,96.1728727176032,False,True,stationary,False,sigma2[1]_boundary,True,ok,False,fallback_highest_llf_no_valid_attempt,1296.0,2,lbfgs#25|fallback_highest_llf_no_valid_attempt,50,35,0
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Y,N,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF,SPF_lag_1",Student t,3,N,N,Y,N,1969Q2,2022Q4,215,-173.25630628323657,376.51261256647314,427.0721829883881,396.9410140133115,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#2,50,48,3
Constant_normal_r2_arN_spfN_nuN,Constant,N,N,SPF_shock,,Normal,2,N,N,Y,N,1969Q2,2022Q4,215,-186.62999056243393,381.25998112486786,394.7425332373785,386.70755484402474,True,True,no_ar_terms,True,ok,True,ok,True,passed_checks,5.0,0,lbfgs#19,50,50,50
Constant_normal_r3_arN_spfN_nuN,Constant,N,N,SPF_shock,,Normal,3,N,N,Y,N,1969Q2,2022Q4,215,-180.65693557222426,379.3138711444485,409.6496133975975,391.5709120125515,True,True,no_ar_terms,True,ok,True,ok,True,passed_checks,58.0,0,lbfgs#19,50,50,3
Constant_student_t_r2_arN_spfN_nuN,Constant,N,N,SPF_shock,,Student t,2,N,N,Y,N,1969Q2,2022Q4,215,-185.71889882495327,381.43779764990654,398.2909877905449,388.24726479885265,True,True,no_ar_terms,True,ok,True,ok,True,passed_checks,32.0,0,lbfgs#15,50,50,50
Constant_student_t_r3_arN_spfN_nuN,Constant,N,N,SPF_shock,,Student t,3,N,N,Y,N,1969Q2,2022Q4,215,-180.64068223346027,381.28136446692054,414.98774474819714,394.90029876481276,True,True,no_ar_terms,True,ok,True,ok,True,passed_checks,117.0,0,lbfgs#49,50,50,1
