model_label,attempt,method,llf,converged,stationary,distribution_valid,transition_valid,checks_passed,iterations,warnflag,stationarity_reason,distribution_reason,transition_reason,error
"ARX(1,1)_normal_r2_arN_spfN_nuN",1,lbfgs,91.90101523820144,Y,Y,Y,Y,Y,37.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",2,bfgs,91.9010169915116,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",3,lbfgs,91.90101698271168,Y,Y,Y,Y,Y,32.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",4,bfgs,91.90101704934455,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",5,lbfgs,91.90101701483508,Y,Y,Y,Y,Y,38.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",6,bfgs,91.90101704938765,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",7,lbfgs,91.90101697816391,Y,Y,Y,Y,Y,32.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",8,bfgs,91.90101704940095,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",9,lbfgs,91.9010169882917,Y,Y,Y,Y,Y,32.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",10,bfgs,91.90101704936839,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",11,lbfgs,91.90101697841592,Y,Y,Y,Y,Y,32.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",12,bfgs,91.90101704938198,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",13,lbfgs,91.90101525123663,Y,Y,Y,Y,Y,37.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",14,bfgs,91.9010169912634,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",15,lbfgs,91.90101521916561,Y,Y,Y,Y,Y,37.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",16,bfgs,91.90101704939805,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",17,lbfgs,91.90101699133233,Y,Y,Y,Y,Y,38.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",18,bfgs,91.90101699113801,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",19,lbfgs,91.90101697969371,Y,Y,Y,Y,Y,32.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",20,bfgs,91.90101704934398,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",21,lbfgs,91.90098349248981,Y,Y,Y,Y,Y,31.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",22,bfgs,91.90101704939543,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",23,lbfgs,91.90101698051313,Y,Y,Y,Y,Y,32.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",24,bfgs,91.90101699123889,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",25,lbfgs,91.90101698291667,Y,Y,Y,Y,Y,32.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",26,bfgs,91.90101704939634,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",27,lbfgs,91.90101697908104,Y,Y,Y,Y,Y,32.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",28,bfgs,91.90101704926421,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",29,lbfgs,91.90101669831748,Y,Y,Y,Y,Y,37.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",30,bfgs,91.9010170493967,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",31,lbfgs,91.90101701376098,Y,Y,Y,Y,Y,38.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",32,bfgs,91.9010170493631,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",33,lbfgs,91.90101697982786,Y,Y,Y,Y,Y,32.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",34,bfgs,91.9010170493952,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",35,lbfgs,91.90101521862046,Y,Y,Y,Y,Y,37.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",36,bfgs,91.9010169915826,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",37,lbfgs,91.90101697941546,Y,Y,Y,Y,Y,32.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",38,bfgs,91.90101704936617,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",39,lbfgs,91.90101698020091,Y,Y,Y,Y,Y,32.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",40,bfgs,91.90101704939782,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",41,lbfgs,91.90101525623267,Y,Y,Y,Y,Y,37.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",42,bfgs,91.90101699063707,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",43,lbfgs,91.901017024785,Y,Y,Y,Y,Y,38.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",44,bfgs,91.90101704939212,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",45,lbfgs,91.9010169805716,Y,Y,Y,Y,Y,32.0,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",46,bfgs,91.90101704938974,Y,Y,Y,Y,Y,,0.0,stationary,ok,ok,
"ARX(1,1)_normal_r2_arN_spfN_nuN",47,lbfgs,91.90098380566813,Y,Y,Y,Y,Y,31.0,0.0,stationary,ok,ok,
