model_label,mean_process,error_distribution,k_regimes,parameter,parameter_raw,parameter_type,estimate
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Normal,2,sigma2[0],sigma2[0],distribution,0.01984751198780109
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Normal,2,sigma2[1],sigma2[1],distribution,0.13926057675041503
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Normal,2,Inflation_lag_1,x1,mean_process,0.4568519283961247
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Normal,2,SPF,x2,mean_process,0.5920732975634088
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Normal,2,const,const,mean_process,0.010592199178242322
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Normal,2,p[0->0],p[0->0],transition_probability,0.9506982276913136
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Normal,2,p[1->0],p[1->0],transition_probability,0.10149265561870988
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,sigma2[0],sigma2[0],distribution,0.01851444442971232
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,sigma2[1],sigma2[1],distribution,0.1281184368213971
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,Inflation_lag_1[0],x1[0],mean_process,0.37712357739964253
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,Inflation_lag_1[1],x1[1],mean_process,0.4905352570326202
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,SPF,x2[1],mean_process,0.5577649336317189
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,const[0],const[0],mean_process,0.03259048575110734
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,const[1],const[1],mean_process,0.036746160876382945
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,p[0->0],p[0->0],transition_probability,0.9498878141300869
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Normal,2,p[1->0],p[1->0],transition_probability,0.08757022776170459
"ARX(1,1)_normal_r2_arY_spfY_nuN","ARX(1,1)",Normal,2,sigma2[0],sigma2[0],distribution,0.018497382204590233
"ARX(1,1)_normal_r2_arY_spfY_nuN","ARX(1,1)",Normal,2,sigma2[1],sigma2[1],distribution,0.127998466863727
"ARX(1,1)_normal_r2_arY_spfY_nuN","ARX(1,1)",Normal,2,Inflation_lag_1[0],x1[0],mean_process,0.3775279857817496
"ARX(1,1)_normal_r2_arY_spfY_nuN","ARX(1,1)",Normal,2,Inflation_lag_1[1],x1[1],mean_process,0.4892579119688526
"ARX(1,1)_normal_r2_arY_spfY_nuN","ARX(1,1)",Normal,2,SPF[0],x2[0],mean_process,0.5542352649046843
"ARX(1,1)_normal_r2_arY_spfY_nuN","ARX(1,1)",Normal,2,SPF[1],x2[1],mean_process,0.5637994220350786
"ARX(1,1)_normal_r2_arY_spfY_nuN","ARX(1,1)",Normal,2,const[0],const[0],mean_process,0.03325315263804348
"ARX(1,1)_normal_r2_arY_spfY_nuN","ARX(1,1)",Normal,2,const[1],const[1],mean_process,0.03543529824673917
