model_label,mean_process,has_intercept,intercept_switches_by_regime,endog,exog_cols,error_distribution,k_regimes,switching_ar,switching_spf,switching_distribution,switching_nu,sample_start,sample_end,nobs,llf,aic,bic,hqic,converged,stationary,stationarity_reason,distribution_valid,distribution_reason,transition_valid,transition_reason,checks_passed,selection_status,iterations,warnflag,fit_strategy,fit_attempts,fit_converged_candidates,fit_valid_candidates
"ARX(1,1)_normal_r2_arN_spfN_nuN","ARX(1,1)",Y,N,Inflation,"Inflation_lag_1,SPF",Normal,2,N,N,Y,N,1969-02,2026-05,688,91.90101704940095,-169.8020340988019,-138.0655122332685,-157.52421616558377,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#8,50,50,50
"ARX(1,1)_normal_r2_arY_spfN_nuN","ARX(1,1)",Y,Y,Inflation,"Inflation_lag_1,SPF",Normal,2,Y,N,Y,N,1969-02,2026-05,688,93.76908328537866,-169.5381665707573,-128.73406702935722,-153.7524006566197,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#12,50,50,50
"ARX(1,1)_normal_r2_arY_spfY_nuN","ARX(1,1)",Y,Y,Inflation,"Inflation_lag_1,SPF",Normal,2,Y,Y,Y,N,1969-02,2026-05,688,93.7702430841788,-167.5404861683576,-122.20259778902417,-150.00074626376025,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#10,50,48,47
"ARX(1,1)_normal_r3_arY_spfN_nuN","ARX(1,1)",Y,Y,Inflation,"Inflation_lag_1,SPF",Normal,3,Y,N,Y,N,1969-02,2026-05,688,112.52832161801886,-193.05664323603773,-120.51602182910423,-164.99305938868196,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#36,50,50,40
"ARX(1,1)_normal_r3_arN_spfN_nuN","ARX(1,1)",Y,N,Inflation,"Inflation_lag_1,SPF",Normal,3,N,N,Y,N,1969-02,2026-05,688,91.90235585942584,-159.80471171885168,-105.39924566365156,-138.75702383333487,True,True,stationary,True,ok,True,ok,True,passed_checks,50.0,0,lbfgs#45,50,50,3
"ARX(2,1)_normal_r2_arN_spfN_nuN","ARX(2,1)",Y,N,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF",Normal,2,N,N,Y,N,1969-02,2026-05,688,91.9497369391163,-167.8994738782326,-131.62916317476586,-153.86768195455474,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#10,50,50,50
"ARX(2,1)_normal_r2_arY_spfN_nuN","ARX(2,1)",Y,Y,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF",Normal,2,Y,N,Y,N,1969-02,2026-05,688,94.14027205367302,-166.28054410734603,-116.40886689007925,-146.98683021228896,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#6,50,49,49
"ARX(2,1)_normal_r2_arY_spfY_nuN","ARX(2,1)",Y,Y,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF",Normal,2,Y,Y,Y,N,1969-02,2026-05,688,94.145094895497,-164.290189790994,-109.88472373579387,-143.24250190547718,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#16,50,46,46
"ARX(2,1)_normal_r3_arY_spfN_nuN","ARX(2,1)",Y,Y,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF",Normal,3,Y,N,Y,N,1969-02,2026-05,688,119.14989126361748,-200.29978252723495,-114.15779460650143,-166.97427670849999,True,True,stationary,True,ok,True,ok,True,passed_checks,,0,bfgs#18,50,49,34
"ARX(2,1)_normal_r3_arN_spfN_nuN","ARX(2,1)",Y,N,Inflation,"Inflation_lag_1,Inflation_lag_2,SPF",Normal,3,N,N,Y,N,1969-02,2026-05,688,91.96570191852109,-157.93140383704218,-98.99214894390872,-135.12974196106563,True,True,stationary,True,ok,True,ok,True,passed_checks,31.0,0,lbfgs#31,50,50,3
